Company Name,Asset Type,Percentage Allocation,Fund Type
7.15 Tata Motors Finance Ltd. Jun 25 2024,Debt,0.14%,Equity Savings
6.54 GOI Jan 17 2032,Debt,0.14%,Equity Savings
Ambuja Cements Ltd.,Equity,0.12%,Equity Savings
Grasim Industries Ltd.,Equity,0.11%,Equity Savings
Biocon Ltd.,Equity,0.10%,Equity Savings
Biocon Ltd.,Equity,-0.10%,Equity Savings
ITC Ltd.,Equity,-0.10%,Equity Savings
Grasim Industries Ltd.,Equity,-0.12%,Equity Savings
Ambuja Cements Ltd.,Equity,-0.12%,Equity Savings
Tata Consumer Products Ltd.,Equity,-0.15%,Equity Savings
Apollo Hospitals Enterprise Ltd.,Equity,-0.16%,Equity Savings
HDFC Life Insurance Company Ltd.,Equity,-0.36%,Equity Savings
ICICI Bank Ltd.,Equity,-0.60%,Equity Savings
United Spirits Ltd.,Equity,-0.65%,Equity Savings
Dabur India Ltd.,Equity,-0.70%,Equity Savings
Mahindra & Mahindra Ltd.,Equity,-1.02%,Equity Savings
Hindalco Industries Ltd.,Equity,-1.06%,Equity Savings
Tata Steel Ltd.,Equity,-1.08%,Equity Savings
Tata Motors Ltd.,Equity,-1.09%,Equity Savings
Tata Power Company Ltd.,Equity,-1.12%,Equity Savings
Axis Bank Ltd.,Equity,-1.17%,Equity Savings
Ashok Leyland Ltd.,Equity,-1.22%,Equity Savings
Bajaj Finance Ltd.,Equity,-1.27%,Equity Savings
Dr Reddys Laboratories Ltd.,Equity,-1.37%,Equity Savings
Larsen & Toubro Ltd.,Equity,-1.44%,Equity Savings
Sun Pharmaceuticals Ind Ltd.,Equity,-1.47%,Equity Savings
JSW Steel Ltd.,Equity,-1.70%,Equity Savings
State Bank Of India,Equity,-2.01%,Equity Savings
Adani Ports and Special Economic Zone Ltd.,Equity,-2.32%,Equity Savings
Maruti Suzuki India Ltd.,Equity,-2.51%,Equity Savings
HDFC Bank Ltd.,Equity,-3.54%,Equity Savings
Titan Company Ltd.,Equity,-4.11%,Equity Savings
Derivative,Others,27.81%,Equity Savings
Triparty Repo,Others,7.49%,Equity Savings
5.22 GOI Jun 15 2025,Debt,6.94%,Equity Savings
Bharat Electronics Ltd.,Equity,6.51%,Equity Savings
United Spirits Ltd.,Equity,6.04%,Equity Savings
6.18 GOI Nov  4 2024,Debt,4.75%,Equity Savings
HDFC Bank Ltd.,Others,4.66%,Equity Savings
7.06 GOI Apr 10 2028,Debt,4.33%,Equity Savings
Ambuja Cements Ltd.,Equity,2.97%,Equity Savings
Pidilite Industries Ltd.,Equity,2.70%,Equity Savings
Sonata Software Ltd.,Equity,2.60%,Equity Savings
7.37 GOI Oct 23 2028,Debt,2.43%,Equity Savings
7.38 GOI Jun 20 2027,Debt,2.39%,Equity Savings
The Indian Hotels Company Ltd.,Equity,2.16%,Equity Savings
Larsen & Toubro Ltd.,Equity,2.05%,Equity Savings
Steel Authority Of India Ltd.,Equity,2.01%,Equity Savings
Eureka Forbes Ltd.,Equity,1.86%,Equity Savings
Polycab India Ltd.,Equity,1.82%,Equity Savings
Blue Star Ltd.,Equity,1.61%,Equity Savings
Aditya Vision Ltd.,Equity,1.61%,Equity Savings
Dr Reddys Laboratories Ltd.,Equity,1.54%,Equity Savings
CG Power & Industrial Solutions Ltd.,Equity,1.51%,Equity Savings
Zensar Technologies Ltd.,Equity,1.50%,Equity Savings
Cholamandalam Investment & Finance Company Ltd.,Equity,1.49%,Equity Savings
5.44 National Bank For Agriculture & Rural Development (Nabard) Feb  5 2024,Debt,1.49%,Equity Savings
Angel One Ltd. (Erstwhile Angel Broking Ltd.),Equity,1.49%,Equity Savings
Bajaj Finance Ltd.,Equity,1.43%,Equity Savings
Persistent Systems Ltd.,Equity,1.43%,Equity Savings
Electronics Mart India Ltd.,Equity,1.31%,Equity Savings
ICICI Bank Ltd.,Equity,1.26%,Equity Savings
Dixon Technologies (India) Ltd.,Equity,1.24%,Equity Savings
Kaynes Technology India Pvt. Ltd.,Equity,1.24%,Equity Savings
Td Power Systems Ltd.,Equity,1.23%,Equity Savings
Timken India Ltd.,Equity,1.19%,Equity Savings
KPIT Technologies Ltd.,Equity,1.08%,Equity Savings
Safari Industries (India) Ltd.,Equity,1.02%,Equity Savings
VRL Logistics Ltd.,Equity,1.00%,Equity Savings
Zee Entertainment Enterprises Ltd.,Equity,0.90%,Equity Savings
Bandhan Bank Ltd.,Equity,0.86%,Equity Savings
Mankind Pharma Ltd.,Equity,0.84%,Equity Savings
Sundaram Finance Ltd.,Equity,0.83%,Equity Savings
TVS Motor Company Ltd.,Equity,0.77%,Equity Savings
Prudent Corporate Advisory Services Ltd.,Equity,0.68%,Equity Savings
Siemens Ltd.,Equity,0.67%,Equity Savings
National Aluminium Company Ltd.,Equity,0.66%,Equity Savings
HDFC Bank Ltd.,Equity,0.65%,Equity Savings
Mahindra Holidays & Resorts India Ltd.,Equity,0.63%,Equity Savings
One 97 Communications Ltd.,Equity,0.51%,Equity Savings
KEI Industries Ltd.,Equity,0.49%,Equity Savings
NMDC Ltd.,Equity,0.49%,Equity Savings
Schaeffler India Ltd.,Equity,0.46%,Equity Savings
Sun Pharmaceuticals Ind Ltd.,Equity,0.42%,Equity Savings
Hindustan Petroleum Corporation Ltd.,Equity,0.41%,Equity Savings
Oracle Financial Services Software Ltd.,Equity,0.36%,Equity Savings
GAIL (India) Ltd.,Equity,0.35%,Equity Savings
GE T&D India Ltd.,Equity,0.24%,Equity Savings
Abbott India Ltd.,Equity,0.13%,Equity Savings
Bharat Forge Ltd.,Equity,0.12%,Equity Savings
Infosys Ltd.,Equity,0.09%,Equity Savings
Larsen & Toubro Ltd.,Equity,-0.05%,Equity Savings
Infosys Ltd.,Equity,-0.06%,Equity Savings
Bharat Forge Ltd.,Equity,-0.12%,Equity Savings
Abbott India Ltd.,Equity,-0.13%,Equity Savings
GAIL (India) Ltd.,Equity,-0.35%,Equity Savings
Oracle Financial Services Software Ltd.,Equity,-0.36%,Equity Savings
Hindustan Petroleum Corporation Ltd.,Equity,-0.41%,Equity Savings
NMDC Ltd.,Equity,-0.49%,Equity Savings
National Aluminium Company Ltd.,Equity,-0.66%,Equity Savings
Bandhan Bank Ltd.,Equity,-0.87%,Equity Savings
Zee Entertainment Enterprises Ltd.,Equity,-0.91%,Equity Savings
Current Assets,Others,-0.93%,Equity Savings
Bajaj Finance Ltd.,Equity,-1.44%,Equity Savings
Dr Reddys Laboratories Ltd.,Equity,-1.55%,Equity Savings
Steel Authority Of India Ltd.,Equity,-2.03%,Equity Savings
Pidilite Industries Ltd.,Equity,-2.73%,Equity Savings
Ambuja Cements Ltd.,Equity,-3.00%,Equity Savings
United Spirits Ltd.,Equity,-6.09%,Equity Savings
Bharat Electronics Ltd.,Equity,-6.55%,Equity Savings
Derivative,Others,56.77%,Equity Savings
Hindustan Unilever Ltd.,Equity,5.50%,Equity Savings
ICICI Bank Ltd.,Equity,5.25%,Equity Savings
Triparty Repo,Others,4.71%,Equity Savings
Infosys Ltd.,Equity,4.64%,Equity Savings
HDFC Bank Ltd.,Equity,4.36%,Equity Savings
Sun Pharmaceuticals Ind Ltd.,Equity,4.35%,Equity Savings
Tata Motors - DVR - A - ORDY,Equity,4.09%,Equity Savings
Reliance Industries Ltd.,Equity,3.93%,Equity Savings
ITC Ltd.,Equity,3.91%,Equity Savings
National Thermal Power Corporation Ltd.,Equity,3.82%,Equity Savings
Embassy Office Parks Reit,Others,3.58%,Equity Savings
Axis Bank Ltd.,Equity,3.29%,Equity Savings
Adani Ports and Special Economic Zone Ltd.,Equity,3.07%,Equity Savings
7.06 GOI Apr 10 2028,Debt,3.00%,Equity Savings
Hero Motocorp Ltd.,Equity,2.55%,Equity Savings
Maruti Suzuki India Ltd.,Equity,2.49%,Equity Savings
Tata Steel Ltd.,Equity,2.46%,Equity Savings
Bajaj Finance Ltd.,Equity,2.20%,Equity Savings
4.45 GOI Oct 30 2034,Debt,2.11%,Equity Savings
Larsen & Toubro Ltd.,Equity,1.57%,Equity Savings
HDFC Life Insurance Company Ltd.,Equity,1.48%,Equity Savings
Cash Margin,Debt,1.43%,Equity Savings
8.9508 Pipeline Infrastructure Pvt. Ltd. Mar 22 2024,Debt,1.21%,Equity Savings
7.18 GOI Aug 14 2033,Debt,1.20%,Equity Savings
Angel One Ltd. (Erstwhile Angel Broking Ltd.) (90D),Others,1.19%,Equity Savings
7.26 GOI Feb  6 2033,Debt,1.16%,Equity Savings
Treasury Bill (91D),Others,1.14%,Equity Savings
Motilal Oswal Financial Services Ltd. (325D),Others,1.13%,Equity Savings
Power Grid Corporation Of India Ltd.,Equity,1.07%,Equity Savings
Coal India Ltd.,Equity,0.99%,Equity Savings
Ambuja Cements Ltd.,Equity,0.93%,Equity Savings
Treasury Bill (182D),Others,0.89%,Equity Savings
Oil & Natural Gas Corporation Ltd.,Equity,0.84%,Equity Savings
6.18 Tata Power Company Ltd. Feb 23 2024,Debt,0.78%,Equity Savings
Lupin Ltd.,Equity,0.71%,Equity Savings
6.7 DLF Cyber City Developers Ltd. Sep 30 2024,Debt,0.71%,Equity Savings
State Bank Of India,Equity,0.69%,Equity Savings
HCL Technologies Ltd.,Equity,0.69%,Equity Savings
JSW Steel Ltd.,Equity,0.63%,Equity Savings
Ultratech Cement Ltd.,Equity,0.56%,Equity Savings
Indian Oil Corporation Ltd.,Equity,0.54%,Equity Savings
Grasim Industries Ltd.,Equity,0.52%,Equity Savings
Tata Consumer Products Ltd.,Equity,0.51%,Equity Savings
Treasury Bill (91D),Others,0.51%,Equity Savings
Bharti Airtel Ltd.,Equity,0.48%,Equity Savings
Treasury Bill (364D),Others,0.48%,Equity Savings
Treasury Bill (91D),Others,0.48%,Equity Savings
Treasury Bill (91D),Others,0.47%,Equity Savings
Canara Bank,Equity,0.46%,Equity Savings
GAIL (India) Ltd.,Equity,0.46%,Equity Savings
Mahindra & Mahindra Ltd.,Equity,0.45%,Equity Savings
6.17 Muthoot Finance Ltd. Feb 23 2024,Debt,0.45%,Equity Savings
Treasury Bill (364D),Others,0.45%,Equity Savings
Steel Authority Of India Ltd.,Equity,0.37%,Equity Savings
Dr Reddys Laboratories Ltd.,Equity,0.35%,Equity Savings
ICICI Lombard General Insurance Company Ltd.,Equity,0.31%,Equity Savings
9.25 Motilal Oswal Finvest Ltd. Nov  1 2024,Debt,0.30%,Equity Savings
8.35 JM Financial Credit Solutions Ltd. Apr 26 2024,Debt,0.30%,Equity Savings
Treasury Bill (182D),Others,0.30%,Equity Savings
Jindal Steel & Power Ltd.,Equity,0.25%,Equity Savings
7.45 Land Kart Builders Pvt. Ltd. Dec 13 2024,Debt,0.20%,Equity Savings
SBI Life Insurance Company Ltd.,Equity,0.19%,Equity Savings
Treasury Bill (364D),Others,0.18%,Equity Savings
Asian Paints Ltd.,Equity,0.16%,Equity Savings
7.4 Muthoot Finance Ltd. Jan  5 2024,Debt,0.15%,Equity Savings
Exide Industries Ltd.,Equity,0.10%,Equity Savings
Dabur India Ltd.,Equity,0.09%,Equity Savings
Tata Power Company Ltd.,Equity,0.07%,Equity Savings
Current Assets,Others,0.06%,Equity Savings
Apollo Hospitals Enterprise Ltd.,Equity,0.05%,Equity Savings
United Spirits Ltd.,Equity,0.04%,Equity Savings
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,0.04%,Equity Savings
Bank Of Baroda,Equity,0.03%,Equity Savings
Mahanagar Gas Ltd.,Equity,0.03%,Equity Savings
8.49 National Thermal Power Corporation Ltd. Mar 25 2025,Debt,0.01%,Equity Savings
HDFC Life Insurance Company Ltd.,Equity,-0.01%,Equity Savings
Sun Pharmaceuticals Ind Ltd.,Equity,-0.01%,Equity Savings
Reliance Industries Ltd.,Equity,-0.01%,Equity Savings
Bajaj Finance Ltd.,Equity,-0.01%,Equity Savings
Maruti Suzuki India Ltd.,Equity,-0.01%,Equity Savings
Infosys Ltd.,Equity,-0.02%,Equity Savings
HDFC Bank Ltd.,Equity,-0.02%,Equity Savings
ICICI Bank Ltd.,Equity,-0.02%,Equity Savings
ITC Ltd.,Equity,-0.02%,Equity Savings
Mahanagar Gas Ltd.,Equity,-0.03%,Equity Savings
Hindustan Unilever Ltd.,Equity,-0.03%,Equity Savings
Bank Of Baroda,Equity,-0.03%,Equity Savings
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,-0.04%,Equity Savings
United Spirits Ltd.,Equity,-0.04%,Equity Savings
Apollo Hospitals Enterprise Ltd.,Equity,-0.05%,Equity Savings
HDFC Life Insurance Company Ltd.,Equity,-0.07%,Equity Savings
Tata Power Company Ltd.,Equity,-0.07%,Equity Savings
Dabur India Ltd.,Equity,-0.10%,Equity Savings
Exide Industries Ltd.,Equity,-0.11%,Equity Savings
Asian Paints Ltd.,Equity,-0.16%,Equity Savings
SBI Life Insurance Company Ltd.,Equity,-0.20%,Equity Savings
Jindal Steel & Power Ltd.,Equity,-0.25%,Equity Savings
ICICI Lombard General Insurance Company Ltd.,Equity,-0.31%,Equity Savings
Dr Reddys Laboratories Ltd.,Equity,-0.35%,Equity Savings
Steel Authority Of India Ltd.,Equity,-0.38%,Equity Savings
Mahindra & Mahindra Ltd.,Equity,-0.45%,Equity Savings
GAIL (India) Ltd.,Equity,-0.46%,Equity Savings
Canara Bank,Equity,-0.47%,Equity Savings
Bharti Airtel Ltd.,Equity,-0.48%,Equity Savings
Tata Consumer Products Ltd.,Equity,-0.51%,Equity Savings
Grasim Industries Ltd.,Equity,-0.53%,Equity Savings
Indian Oil Corporation Ltd.,Equity,-0.54%,Equity Savings
Ultratech Cement Ltd.,Equity,-0.55%,Equity Savings
JSW Steel Ltd.,Equity,-0.64%,Equity Savings
HCL Technologies Ltd.,Equity,-0.69%,Equity Savings
State Bank Of India,Equity,-0.70%,Equity Savings
Lupin Ltd.,Equity,-0.72%,Equity Savings
Oil & Natural Gas Corporation Ltd.,Equity,-0.84%,Equity Savings
Ambuja Cements Ltd.,Equity,-0.94%,Equity Savings
Coal India Ltd.,Equity,-1.00%,Equity Savings
Power Grid Corporation Of India Ltd.,Equity,-1.07%,Equity Savings
ITC Ltd.,Equity,-1.54%,Equity Savings
Larsen & Toubro Ltd.,Equity,-1.57%,Equity Savings
Bajaj Finance Ltd.,Equity,-1.70%,Equity Savings
Maruti Suzuki India Ltd.,Equity,-1.87%,Equity Savings
Reliance Industries Ltd.,Equity,-2.42%,Equity Savings
Tata Steel Ltd.,Equity,-2.48%,Equity Savings
Hero Motocorp Ltd.,Equity,-2.56%,Equity Savings
Sun Pharmaceuticals Ind Ltd.,Equity,-2.79%,Equity Savings
Infosys Ltd.,Equity,-2.85%,Equity Savings
Hindustan Unilever Ltd.,Equity,-2.93%,Equity Savings
Adani Ports and Special Economic Zone Ltd.,Equity,-3.09%,Equity Savings
ICICI Bank Ltd.,Equity,-3.31%,Equity Savings
Axis Bank Ltd.,Equity,-3.32%,Equity Savings
HDFC Bank Ltd.,Equity,-3.45%,Equity Savings
National Thermal Power Corporation Ltd.,Equity,-3.85%,Equity Savings
Tata Motors Ltd.,Equity,-4.29%,Equity Savings
Net Receivables/(Payable),Others,34.07%,Equity Savings
Net Receivables/(Payable),Others,34.07%,Equity Savings
Net Receivables/(Payable),Others,34.07%,Equity Savings
Net Receivables/(Payable),Others,34.07%,Equity Savings
Invesco Mutual Fund (Invesco India Short Term Fund - Direct - Growth),Debt,12.29%,Equity Savings
United Spirits Ltd.,Equity,8.78%,Equity Savings
Sun Pharmaceuticals Ind Ltd.,Equity,8.33%,Equity Savings
Triparty Repo,Others,8.15%,Equity Savings
Triparty Repo,Others,8.15%,Equity Savings
Triparty Repo,Others,8.15%,Equity Savings
Triparty Repo,Others,8.15%,Equity Savings
State Bank Of India,Equity,5.18%,Equity Savings
Invesco Mutual Fund (Invesco India Liquid Fund - Direct - Growth),Debt,4.45%,Equity Savings
5.63 GOI Apr 12 2026,Debt,3.73%,Equity Savings
Ambuja Cements Ltd.,Equity,3.60%,Equity Savings
Axis Bank Ltd.,Equity,3.39%,Equity Savings
HDFC Bank Ltd.,Equity,1.66%,Equity Savings
HDFC Life Insurance Company Ltd.,Equity,1.64%,Equity Savings
Cholamandalam Investment & Finance Company Ltd.,Equity,1.57%,Equity Savings
7.18 GOI Aug 14 2033,Debt,1.54%,Equity Savings
Tata Consultancy Services Ltd.,Equity,1.38%,Equity Savings
Trent Ltd.,Equity,1.18%,Equity Savings
Jio Financial Services Ltd.,Equity,1.11%,Equity Savings
Equitas Small Finance Bank Ltd.,Equity,1.08%,Equity Savings
Avenue Supermarts Ltd.,Equity,1.08%,Equity Savings
Indusind Bank Ltd.,Equity,1.02%,Equity Savings
REC Ltd.,Equity,1.00%,Equity Savings
SBI Life Insurance Company Ltd.,Equity,0.96%,Equity Savings
Bajaj Finance Ltd.,Equity,0.95%,Equity Savings
Zomato Ltd.,Equity,0.93%,Equity Savings
PI Industries Ltd.,Equity,0.90%,Equity Savings
NHPC Ltd.,Equity,0.82%,Equity Savings
Infosys Ltd.,Equity,0.81%,Equity Savings
Divi Laboratories Ltd.,Equity,0.80%,Equity Savings
Hindustan Aeronautics Ltd.,Equity,0.76%,Equity Savings
Abbott India Ltd.,Equity,0.73%,Equity Savings
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,0.73%,Equity Savings
ACC Ltd.,Equity,0.71%,Equity Savings
Netweb Technologies India Ltd.,Equity,0.71%,Equity Savings
Bharat Dynamics Ltd.,Equity,0.70%,Equity Savings
Coforge Ltd.,Equity,0.64%,Equity Savings
Power Grid Corporation Of India Ltd.,Equity,0.63%,Equity Savings
Interglobe Aviation Ltd.,Equity,0.62%,Equity Savings
JB Chemicals & Pharmaceuticals Ltd.,Equity,0.62%,Equity Savings
Max Healthcare Institute Ltd.,Equity,0.60%,Equity Savings
Voltas Ltd.,Equity,0.58%,Equity Savings
Endurance Technologies Ltd.,Equity,0.58%,Equity Savings
Hindustan Petroleum Corporation Ltd.,Equity,0.57%,Equity Savings
Ltimindtree Ltd.,Equity,0.55%,Equity Savings
Bank Of Baroda,Equity,0.55%,Equity Savings
Kajaria Ceramics Ltd.,Equity,0.54%,Equity Savings
Dixon Technologies (India) Ltd.,Equity,0.54%,Equity Savings
Colgate-Palmolive Ltd.,Equity,0.53%,Equity Savings
JK Lakshmi Cement Ltd.,Equity,0.52%,Equity Savings
Metro Brands Ltd.,Equity,0.52%,Equity Savings
CIE Automotive India Ltd.,Equity,0.52%,Equity Savings
360 ONE WAM LTD.(Erstwhile IIFL WEALTH MANAGEMENT LIMITED),Equity,0.51%,Equity Savings
Havells India Ltd.,Equity,0.50%,Equity Savings
UNO Minda Ltd.,Equity,0.50%,Equity Savings
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,0.47%,Equity Savings
Ratnamani Metals & Tubes Ltd.,Equity,0.46%,Equity Savings
Sobha Ltd.,Equity,0.45%,Equity Savings
BSE Ltd.,Equity,0.42%,Equity Savings
Home First Finance Company India Ltd.,Equity,0.41%,Equity Savings
Kaynes Technology India Pvt. Ltd.,Equity,0.39%,Equity Savings
Uniparts India Ltd.,Equity,0.37%,Equity Savings
Syrma SGS Technology Ltd.,Equity,0.37%,Equity Savings
CreditAccess Grameen Ltd.,Equity,0.37%,Equity Savings
PVR INOX Ltd.,Equity,0.36%,Equity Savings
Stylam Industries Ltd.,Equity,0.36%,Equity Savings
Central Depository Services (India) Ltd.,Equity,0.32%,Equity Savings
Krsnaa Diagnostics Ltd.,Equity,0.32%,Equity Savings
Aavas Financiers Ltd. (Erstwhile A U Housing Finance),Equity,0.24%,Equity Savings
Honeywell Automation India Ltd.,Equity,0.24%,Equity Savings
KNR Constructions Ltd.,Equity,0.22%,Equity Savings
Aether Industries Ltd.,Equity,0.22%,Equity Savings
PNC Infratech Ltd.,Equity,0.20%,Equity Savings
Happy Forgings Ltd.,Equity,0.05%,Equity Savings
SBI Life Insurance Company Ltd.,Equity,-0.33%,Equity Savings
SBI Life Insurance Company Ltd.,Equity,-0.33%,Equity Savings
SBI Life Insurance Company Ltd.,Equity,-0.33%,Equity Savings
SBI Life Insurance Company Ltd.,Equity,-0.33%,Equity Savings
ACC Ltd.,Equity,-0.72%,Equity Savings
ACC Ltd.,Equity,-0.72%,Equity Savings
ACC Ltd.,Equity,-0.72%,Equity Savings
ACC Ltd.,Equity,-0.72%,Equity Savings
Tata Consultancy Services Ltd.,Equity,-1.39%,Equity Savings
Tata Consultancy Services Ltd.,Equity,-1.39%,Equity Savings
Tata Consultancy Services Ltd.,Equity,-1.39%,Equity Savings
Tata Consultancy Services Ltd.,Equity,-1.39%,Equity Savings
HDFC Life Insurance Company Ltd.,Equity,-1.65%,Equity Savings
HDFC Life Insurance Company Ltd.,Equity,-1.65%,Equity Savings
HDFC Life Insurance Company Ltd.,Equity,-1.65%,Equity Savings
HDFC Life Insurance Company Ltd.,Equity,-1.65%,Equity Savings
Axis Bank Ltd.,Equity,-3.41%,Equity Savings
Axis Bank Ltd.,Equity,-3.41%,Equity Savings
Axis Bank Ltd.,Equity,-3.41%,Equity Savings
Axis Bank Ltd.,Equity,-3.41%,Equity Savings
Ambuja Cements Ltd.,Equity,-3.64%,Equity Savings
Ambuja Cements Ltd.,Equity,-3.64%,Equity Savings
Ambuja Cements Ltd.,Equity,-3.64%,Equity Savings
Ambuja Cements Ltd.,Equity,-3.64%,Equity Savings
State Bank Of India,Equity,-5.22%,Equity Savings
State Bank Of India,Equity,-5.22%,Equity Savings
State Bank Of India,Equity,-5.22%,Equity Savings
State Bank Of India,Equity,-5.22%,Equity Savings
Sun Pharmaceuticals Ind Ltd.,Equity,-8.38%,Equity Savings
Sun Pharmaceuticals Ind Ltd.,Equity,-8.38%,Equity Savings
Sun Pharmaceuticals Ind Ltd.,Equity,-8.38%,Equity Savings
Sun Pharmaceuticals Ind Ltd.,Equity,-8.38%,Equity Savings
United Spirits Ltd.,Equity,-8.85%,Equity Savings
United Spirits Ltd.,Equity,-8.85%,Equity Savings
United Spirits Ltd.,Equity,-8.85%,Equity Savings
United Spirits Ltd.,Equity,-8.85%,Equity Savings
Derivative,Others,-25.87%,Equity Savings
Derivative,Others,35.69%,Equity Savings
Triparty Repo,Others,9.33%,Equity Savings
HDFC Bank Ltd.,Equity,6.66%,Equity Savings
Kotak Mahindra Mutual Fund (Kotak Liquid Fund - Direct - Growth),Debt,5.50%,Equity Savings
Kotak Mahindra Mutual Fund (Kotak Money Market Scheme - Direct - Growth),Debt,5.29%,Equity Savings
ICICI Bank Ltd.,Equity,5.24%,Equity Savings
Adani Ports and Special Economic Zone Ltd.,Equity,3.50%,Equity Savings
Sun Pharmaceuticals Ind Ltd.,Equity,3.13%,Equity Savings
Maruti Suzuki India Ltd.,Equity,2.96%,Equity Savings
Power Finance Corporation Ltd.,Equity,2.84%,Equity Savings
Axis Bank Ltd.,Others,2.36%,Equity Savings
Hindustan Unilever Ltd.,Equity,2.02%,Equity Savings
Ambuja Cements Ltd.,Equity,2.00%,Equity Savings
7.33 GOI Sep 22 2033,Debt,1.97%,Equity Savings
Hero Motocorp Ltd.,Equity,1.86%,Equity Savings
7.37 Power Finance Corporation Ltd. May 22 2026,Debt,1.81%,Equity Savings
Zee Entertainment Enterprises Ltd.,Equity,1.80%,Equity Savings
National Thermal Power Corporation Ltd.,Equity,1.74%,Equity Savings
Axis Bank Ltd.,Equity,1.70%,Equity Savings
Reliance Industries Ltd.,Equity,1.67%,Equity Savings
Embassy Office Parks Reit,Others,1.66%,Equity Savings
NMDC Ltd.,Equity,1.46%,Equity Savings
Bank Of Baroda,Equity,1.46%,Equity Savings
Grasim Industries Ltd.,Equity,1.42%,Equity Savings
IDFC Ltd.,Equity,1.38%,Equity Savings
Life Insurance Corporation of India,Equity,1.23%,Equity Savings
7.43 Small Industries Development Bank Of India Aug 31 2026,Debt,1.20%,Equity Savings
Zomato Ltd.,Equity,1.20%,Equity Savings
ITC Ltd.,Equity,1.10%,Equity Savings
Radico Khaitan Ltd.,Equity,1.09%,Equity Savings
Bandhan Bank Ltd.,Equity,1.06%,Equity Savings
Punjab National Bank,Equity,1.04%,Equity Savings
Tata Motors Ltd.,Equity,0.97%,Equity Savings
GAIL (India) Ltd.,Equity,0.96%,Equity Savings
Indusind Bank Ltd.,Equity,0.93%,Equity Savings
Chennai Super Kings Cricket Ltd.,Equity,0.92%,Equity Savings
Infosys Ltd.,Equity,0.90%,Equity Savings
Hindustan Petroleum Corporation Ltd.,Equity,0.87%,Equity Savings
Kotak Mahindra Bank Ltd.,Equity,0.83%,Equity Savings
Interglobe Aviation Ltd.,Equity,0.82%,Equity Savings
Bharti Airtel Ltd.,Equity,0.78%,Equity Savings
Jindal Steel & Power Ltd.,Equity,0.69%,Equity Savings
Tata Steel Ltd.,Equity,0.67%,Equity Savings
Canara Bank,Equity,0.63%,Equity Savings
7.83 National Bank For Agriculture & Rural Development (Nabard) Dec 30 2026,Debt,0.61%,Equity Savings
7.69 HDFC Bank Ltd. Jan 27 2033,Debt,0.60%,Equity Savings
Tata Consultancy Services Ltd.,Equity,0.60%,Equity Savings
DLF Ltd.,Equity,0.59%,Equity Savings
United Spirits Ltd.,Equity,0.53%,Equity Savings
Britannia Industries Ltd.,Equity,0.52%,Equity Savings
Manappuram Finance Ltd.,Equity,0.50%,Equity Savings
LIC Housing Finance Ltd.,Equity,0.46%,Equity Savings
United Breweries Ltd.,Equity,0.43%,Equity Savings
The South Indian Bank Ltd.,Equity,0.40%,Equity Savings
HCL Technologies Ltd.,Equity,0.39%,Equity Savings
Aavas Financiers Ltd. (Erstwhile A U Housing Finance),Equity,0.38%,Equity Savings
Voltamp Transformers Ltd.,Equity,0.36%,Equity Savings
Tech Mahindra Ltd.,Equity,0.33%,Equity Savings
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,0.29%,Equity Savings
Steel Authority Of India Ltd.,Equity,0.28%,Equity Savings
Mphasis Ltd.,Equity,0.28%,Equity Savings
The Federal Bank Ltd.,Equity,0.26%,Equity Savings
Kansai Nerolac Paints Ltd.,Equity,0.24%,Equity Savings
Mahindra & Mahindra Ltd.,Equity,0.24%,Equity Savings
Jio Financial Services Ltd.,Equity,0.23%,Equity Savings
JSW Steel Ltd.,Equity,0.23%,Equity Savings
Bharat Electronics Ltd.,Equity,0.21%,Equity Savings
Havells India Ltd.,Equity,0.21%,Equity Savings
SAI Silks (Kalamandir) Ltd.,Equity,0.21%,Equity Savings
Bajaj Finserv Ltd.,Equity,0.19%,Equity Savings
RBL Bank Ltd.,Equity,0.18%,Equity Savings
Indian Bank,Equity,0.17%,Equity Savings
Aurobindo Pharma Ltd.,Equity,0.17%,Equity Savings
L&T Finance Holding Ltd.,Equity,0.16%,Equity Savings
IPCA Laboratories Ltd.,Equity,0.12%,Equity Savings
Zydus Lifesciences Ltd.,Equity,0.11%,Equity Savings
Hindalco Industries Ltd.,Equity,0.11%,Equity Savings
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,0.09%,Equity Savings
Tata Power Company Ltd.,Equity,0.09%,Equity Savings
Titan Company Ltd.,Equity,0.09%,Equity Savings
SBI Life Insurance Company Ltd.,Equity,0.08%,Equity Savings
Oracle Financial Services Software Ltd.,Equity,0.07%,Equity Savings
Innova Captab Ltd.,Equity,0.07%,Equity Savings
Dabur India Ltd.,Equity,0.06%,Equity Savings
Bharti Airtel Ltd.,Equity,0.04%,Equity Savings
Exide Industries Ltd.,Equity,0.04%,Equity Savings
India Cements Ltd.,Equity,0.03%,Equity Savings
Aditya Birla Capital Ltd.,Equity,0.03%,Equity Savings
Glenmark Pharmaceuticals Ltd.,Equity,0.02%,Equity Savings
