Company Name,Asset Type,Percentage Allocation,Portfolio Date,Scheme Name,Fund Type
Current Assets,Others,-0.06%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Dabur India Ltd.,Equity,-0.06%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Oracle Financial Services Software Ltd.,Equity,-0.07%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
SBI Life Insurance Company Ltd.,Equity,-0.08%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Titan Company Ltd.,Equity,-0.09%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Tata Power Company Ltd.,Equity,-0.09%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Samvardhana Motherson International Ltd.,Equity,-0.09%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Hindalco Industries Ltd.,Equity,-0.11%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Zydus Lifesciences Ltd.,Equity,-0.12%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
L&T Finance Holding Ltd.,Equity,-0.17%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Aurobindo Pharma Ltd.,Equity,-0.17%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
RBL Bank Ltd.,Equity,-0.18%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Bajaj Finserv Ltd.,Equity,-0.19%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Tata Consultancy Services Ltd.,Equity,-0.21%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Havells India Ltd.,Equity,-0.21%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
JSW Steel Ltd.,Equity,-0.23%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Mahindra & Mahindra Ltd.,Equity,-0.24%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
United Spirits Ltd.,Equity,-0.26%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
The Federal Bank Ltd.,Equity,-0.27%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Steel Authority Of India Ltd.,Equity,-0.28%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,-0.30%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Reliance Industries Ltd.,Equity,-0.35%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
HCL Technologies Ltd.,Equity,-0.39%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
ITC Ltd.,Equity,-0.41%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Power Finance Corporation Ltd.,Equity,-0.44%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
LIC Housing Finance Ltd.,Equity,-0.46%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Manappuram Finance Ltd.,Equity,-0.50%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
DLF Ltd.,Equity,-0.60%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Canara Bank,Equity,-0.64%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Tata Steel Ltd.,Equity,-0.67%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Jindal Steel & Power Ltd.,Equity,-0.70%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Zee Entertainment Enterprises Ltd.,Equity,-0.88%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Axis Bank Ltd.,Equity,-0.97%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Maruti Suzuki India Ltd.,Equity,-0.99%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Punjab National Bank,Equity,-1.04%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Bandhan Bank Ltd.,Equity,-1.07%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
IDFC Ltd.,Equity,-1.40%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Grasim Industries Ltd.,Equity,-1.44%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
NMDC Ltd.,Equity,-1.47%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Ambuja Cements Ltd.,Equity,-2.02%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
HDFC Bank Ltd.,Equity,-2.06%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Nifty,Equity,-2.18%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Sun Pharmaceuticals Ind Ltd.,Equity,-2.53%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Adani Ports and Special Economic Zone Ltd.,Equity,-3.53%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
ICICI Bank Ltd.,Equity,-5.28%,31/12/2023,Kotak Equity Savings Fund,Equity Savings
Derivative,Others,26.07%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Triparty Repo,Others,21.68%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
LIC Nomura Mutual Fund (LIC MF Liquid Fund - Direct - Growth),Debt,11.31%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Tata Steel Ltd.,Equity,6.35%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
ICICI Bank Ltd.,Equity,5.36%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Tata Consultancy Services Ltd.,Equity,4.88%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
HDFC Bank Ltd.,Equity,4.47%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
State Bank Of India,Equity,3.54%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
HCL Technologies Ltd.,Equity,2.88%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Kotak Mahindra Bank Ltd.,Equity,2.81%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Axis Bank Ltd.,Equity,2.53%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Sun Pharmaceuticals Ind Ltd.,Equity,2.43%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Grasim Industries Ltd.,Equity,2.34%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Canara Bank,Equity,2.17%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
DCB Bank Ltd.,Equity,2.14%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
The Federal Bank Ltd.,Equity,2.13%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Reliance Industries Ltd.,Equity,2.05%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Indian Railway Catering & Tourism Corporation Ltd.,Equity,2.01%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
ITC Ltd.,Equity,2.00%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Ultratech Cement Ltd.,Equity,1.93%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Infosys Ltd.,Equity,1.70%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Heidelberg Cement India Ltd.,Equity,1.65%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Bharat Dynamics Ltd.,Equity,1.39%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Mahindra & Mahindra Ltd.,Equity,1.11%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Godrej Agrovet Ltd.,Equity,1.08%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Mahindra & Mahindra Financial Services Ltd.,Equity,1.02%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
EIH Ltd.,Equity,1.00%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Campus Activewear Ltd.,Equity,1.00%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Artemis Medicare Services Ltd.,Equity,0.97%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Dabur India Ltd.,Equity,0.92%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Aditya Birla Fashion & Retail Ltd.,Equity,0.90%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
The Ramco Cements Ltd.,Equity,0.87%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
8.49 National Thermal Power Corporation Ltd. Mar 25 2025,Debt,0.66%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Metropolis Healthcare Ltd.,Equity,0.56%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Tech Mahindra Ltd.,Equity,0.49%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Aavas Financiers Ltd. (Erstwhile A U Housing Finance),Equity,0.42%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Bharat Electronics Ltd.,Equity,0.30%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Crompton Greaves Consumer Electrcials Ltd.,Equity,0.29%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Mahindra & Mahindra Ltd.,Equity,-1.11%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Net Receivables/(Payable),Others,-1.33%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Infosys Ltd.,Equity,-1.71%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Ultratech Cement Ltd.,Equity,-1.93%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Canara Bank,Equity,-2.19%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Sun Pharmaceuticals Ind Ltd.,Equity,-2.44%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Axis Bank Ltd.,Equity,-2.55%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Kotak Mahindra Bank Ltd.,Equity,-2.82%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Tata Consultancy Services Ltd.,Equity,-4.91%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Tata Steel Ltd.,Equity,-6.40%,31/12/2023,LIC MF Equity Savings Fund,Equity Savings
Net Receivables/(Payable),Others,29.52%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Ambuja Cements Ltd.,Equity,6.55%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
HDFC Bank Ltd.,Equity,3.77%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Triparty Repo,Others,3.70%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Bajaj Finance Ltd.,Equity,3.67%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
ITC Ltd.,Equity,3.22%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Treasury Bill (364D),Others,3.08%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
ICICI Bank Ltd.,Equity,2.96%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Reliance Industries Ltd.,Equity,2.95%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
7.37 GOI Oct 23 2028,Debt,2.83%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Tech Mahindra Ltd.,Equity,2.51%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
7.47 Small Industries Development Bank Of India Nov 25 2025,Debt,2.32%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Treasury Bill (182D),Others,2.29%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Indusind Bank Ltd.,Equity,2.24%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Treasury Bill (364D),Others,2.21%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Treasury Bill (364D),Others,2.19%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Larsen & Toubro Ltd.,Equity,2.05%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Sun Pharmaceuticals Ind Ltd.,Equity,1.97%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Kotak Mahindra Bank Ltd.,Equity,1.76%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
National Thermal Power Corporation Ltd.,Equity,1.60%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Infosys Ltd.,Equity,1.58%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Hindustan Unilever Ltd.,Equity,1.54%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Canara Bank,Equity,1.54%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Ltimindtree Ltd.,Equity,1.39%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Jindal Steel & Power Ltd.,Equity,1.22%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Shree Cement Ltd.,Equity,1.21%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
8.2 National Bank For Agriculture & Rural Development (Nabard) Mar 16 2028,Debt,1.19%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
10.25 Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited) Apr 26 2024,Debt,1.17%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
8.95 Bharti Telecom Ltd. Dec  4 2026,Debt,1.17%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
7.18 GOI Aug 14 2033,Debt,1.16%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
6.6861 Mindspace Business Parks Reit May 17 2024,Debt,1.16%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
7.77 Embassy Office Parks Reit Jun  5 2025,Debt,1.16%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Treasury Bill (364D),Others,1.15%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Tata Consumer Products Ltd.,Equity,1.14%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Coal India Ltd.,Equity,1.09%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Grasim Industries Ltd.,Equity,1.01%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
L&T Finance Holding Ltd.,Equity,1.00%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
L G Balakrishnan & Bros Ltd.,Equity,0.96%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
GAIL (India) Ltd.,Equity,0.94%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Divi Laboratories Ltd.,Equity,0.91%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Asahi India Glass Ltd.,Equity,0.84%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Bharat Forge Ltd.,Equity,0.81%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Tata Motors - DVR - A - ORDY,Equity,0.80%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
SBI Life Insurance Company Ltd.,Equity,0.79%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Syrma SGS Technology Ltd.,Equity,0.78%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
REC Ltd.,Equity,0.77%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Hindalco Industries Ltd.,Equity,0.74%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Nitin Spinners Ltd.,Equity,0.73%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
ICRA Ltd.,Equity,0.73%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Dabur India Ltd.,Equity,0.71%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
AIA Engineering Ltd.,Equity,0.71%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Havells India Ltd.,Equity,0.71%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Sanghvi Movers Ltd.,Equity,0.67%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Td Power Systems Ltd.,Equity,0.66%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Aditya Vision Ltd.,Equity,0.66%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
ICICI Securities Ltd.,Equity,0.62%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Persistent Systems Ltd.,Equity,0.60%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
6.99 GOI Apr 17 2026,Debt,0.58%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
8.3 TVS Credit Services Ltd. Sep 14 2025,Debt,0.58%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
CESC Ltd.,Equity,0.56%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Escorts Kubota Ltd.,Equity,0.55%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Brookfield REIT,Others,0.55%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Mahindra & Mahindra Ltd.,Equity,0.51%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Birlasoft Ltd.,Equity,0.50%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Triveni Engineering & Industries Ltd.,Equity,0.50%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
KEI Industries Ltd.,Equity,0.47%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
7.13 Power Finance Corporation Ltd. Jul 15 2026,Debt,0.46%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Tata Steel Ltd.,Equity,0.45%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Archean Chemical Industries Ltd.,Equity,0.45%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Inox India Ltd.,Equity,0.45%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Cummins India Ltd.,Equity,0.41%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Indus Towers Ltd. (Erstwhile Bharti Infratel Limited),Equity,0.37%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
PI Industries Ltd.,Equity,0.36%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Jio Financial Services Ltd.,Equity,0.35%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Voltas Ltd.,Equity,0.35%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
State Bank Of India,Equity,0.34%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
7.38 GOI Jun 20 2027,Debt,0.23%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
State Bank Of India,Equity,-0.34%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Mahindra & Mahindra Ltd.,Equity,-0.51%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Indusind Bank Ltd.,Equity,-0.52%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Ltimindtree Ltd.,Equity,-0.66%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Infosys Ltd.,Equity,-0.72%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Hindalco Industries Ltd.,Equity,-0.75%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Sun Pharmaceuticals Ind Ltd.,Equity,-1.05%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Tech Mahindra Ltd.,Equity,-1.22%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Jindal Steel & Power Ltd.,Equity,-1.23%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Canara Bank,Equity,-1.55%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Hindustan Unilever Ltd.,Equity,-1.55%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Kotak Mahindra Bank Ltd.,Equity,-1.77%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
ICICI Bank Ltd.,Equity,-2.98%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
ITC Ltd.,Equity,-3.25%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Bajaj Finance Ltd.,Equity,-3.69%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Ambuja Cements Ltd.,Equity,-6.61%,31/12/2023,Mahindra Manulife Equity Savings Fund,Equity Savings
Triparty Repo,Others,8.83%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
HDFC Bank Ltd.,Equity,4.22%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
ICICI Bank Ltd.,Equity,3.26%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
7.38 GOI Jun 20 2027,Debt,3.02%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
5.63 GOI Apr 12 2026,Debt,2.91%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Reliance Industries Ltd.,Equity,2.82%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
State Bank Of India,Equity,2.46%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
7.06 GOI Apr 10 2028,Debt,2.39%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Infosys Ltd.,Equity,2.33%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
6.54 GOI Jan 17 2032,Debt,2.30%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Larsen & Toubro Ltd.,Equity,2.07%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
6.18 GOI Nov  4 2024,Debt,1.79%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Tata Steel Ltd.,Equity,1.71%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Tata Consultancy Services Ltd.,Equity,1.67%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Tata Motors Ltd.,Equity,1.62%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Aurobindo Pharma Ltd.,Equity,1.55%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Sun Pharmaceuticals Ind Ltd.,Equity,1.52%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Ambuja Cements Ltd.,Equity,1.51%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Axis Bank Ltd.,Equity,1.43%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
ITC Ltd.,Equity,1.37%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Coal India Ltd.,Equity,1.30%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
7.26 GOI Feb  6 2033,Debt,1.20%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Net Receivables/(Payable),Others,1.20%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
7.26 GOI Aug 22 2032,Debt,1.20%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Sun T V Network Ltd.,Equity,1.15%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Titan Company Ltd.,Equity,1.13%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
SBI Life Insurance Company Ltd.,Equity,1.13%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Hindustan Unilever Ltd.,Equity,1.13%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Hindustan Aeronautics Ltd.,Equity,1.09%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Jindal Steel & Power Ltd.,Equity,0.97%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
9 Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited) Jun 24 2024,Debt,0.90%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
7.85 Bajaj Housing Finance Ltd. Sep  1 2028,Debt,0.89%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Bharti Airtel Ltd.,Equity,0.86%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Bank Of Baroda,Equity,0.83%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Dr Reddys Laboratories Ltd.,Equity,0.82%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
National Thermal Power Corporation Ltd.,Equity,0.82%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Dixon Technologies (India) Ltd.,Equity,0.82%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Hindustan Petroleum Corporation Ltd.,Equity,0.81%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Tech Mahindra Ltd.,Equity,0.79%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Ashok Leyland Ltd.,Equity,0.78%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Adani Ports and Special Economic Zone Ltd.,Equity,0.76%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Td Power Systems Ltd.,Equity,0.74%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Grasim Industries Ltd.,Equity,0.73%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
ICICI Lombard General Insurance Company Ltd.,Equity,0.72%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,0.72%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
DLF Ltd.,Equity,0.70%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Kotak Mahindra Bank Ltd.,Equity,0.68%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Tata Power Company Ltd.,Equity,0.67%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
ABB India Ltd.,Equity,0.66%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Aditya Birla Capital Ltd.,Equity,0.66%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Balrampur Chini Mills Ltd.,Equity,0.63%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,0.63%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Interglobe Aviation Ltd.,Equity,0.63%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Hero Motocorp Ltd.,Equity,0.62%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Treasury Bill (364D),Others,0.60%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Treasury Bill (182D),Others,0.59%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Treasury Bill (182D),Others,0.59%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Zee Entertainment Enterprises Ltd.,Equity,0.58%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
6.92 REC Ltd. Mar 20 2032,Debt,0.57%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Tata Technologies Ltd.,Equity,0.57%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Go Fashion (India) Ltd.,Equity,0.52%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
IIFL Finance Ltd. (Erstwhile India Infoline Finance Limited),Equity,0.52%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
RBL Bank Ltd.,Equity,0.50%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,0.49%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Craftsman Automation Ltd.,Equity,0.45%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Maruti Suzuki India Ltd.,Equity,0.45%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
Oil & Natural Gas Corporation Ltd.,Equity,0.44%,31/12/2023,Mirae Asset Equity Savings Fund,Equity Savings
