Company Name,Asset Type,Percentage Allocation,Fund Type
Adani Transmission Ltd.,Equity,0.04%,Equity Savings
Vedanta Ltd.,Equity,0.04%,Equity Savings
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,0.04%,Equity Savings
PI Industries Ltd.,Equity,0.04%,Equity Savings
Marico Ltd.,Equity,0.04%,Equity Savings
Piramal Enterprises Ltd.,Equity,0.04%,Equity Savings
Indian Railway Catering & Tourism Corporation Ltd.,Equity,0.04%,Equity Savings
Jindal Steel & Power Ltd.,Equity,0.04%,Equity Savings
ABB India Ltd.,Equity,0.04%,Equity Savings
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,0.03%,Equity Savings
SBI Cards & Payment Services Pvt. Ltd.,Equity,0.03%,Equity Savings
Torrent Pharmaceuticals Ltd.,Equity,0.03%,Equity Savings
ICICI Prudential Life Insurance Company Ltd.,Equity,0.03%,Equity Savings
Max Financial Services Ltd.,Equity,0.03%,Equity Savings
Bosch Ltd.,Equity,0.03%,Equity Savings
Berger Paints India Ltd.,Equity,0.02%,Equity Savings
Procter & Gamble Hygiene & Healthcare Ltd.,Equity,0.02%,Equity Savings
Muthoot Finance Ltd.,Equity,0.02%,Equity Savings
Life Insurance Corporation of India,Equity,0.02%,Equity Savings
Escorts Kubota Ltd.,Equity,0.02%,Equity Savings
Indian Energy Exchange Ltd.,Equity,0.01%,Equity Savings
Cash,Others,0.00%,Equity Savings
Indian Energy Exchange Ltd.,Equity,-0.01%,Equity Savings
Hindustan Unilever Ltd.,Equity,-0.02%,Equity Savings
Escorts Kubota Ltd.,Equity,-0.02%,Equity Savings
Max Financial Services Ltd.,Equity,-0.03%,Equity Savings
Piramal Enterprises Ltd.,Equity,-0.04%,Equity Savings
Godrej Consumer Products Ltd.,Equity,-0.06%,Equity Savings
Tata Consumer Products Ltd.,Equity,-0.07%,Equity Savings
City Union Bank Ltd.,Equity,-0.08%,Equity Savings
Titan Company Ltd.,Equity,-0.09%,Equity Savings
Bank Of Baroda,Equity,-0.14%,Equity Savings
Ambuja Cements Ltd.,Equity,-0.14%,Equity Savings
Bandhan Bank Ltd.,Equity,-0.18%,Equity Savings
Bharat Heavy Electricals Ltd.,Equity,-0.21%,Equity Savings
Trent Ltd.,Equity,-0.23%,Equity Savings
Glenmark Pharmaceuticals Ltd.,Equity,-0.33%,Equity Savings
Petronet Lng Ltd.,Equity,-0.38%,Equity Savings
KPIT Technologies Ltd.,Equity,-0.38%,Equity Savings
Tata Consultancy Services Ltd.,Equity,-0.39%,Equity Savings
Larsen & Toubro Ltd.,Equity,-0.42%,Equity Savings
Balrampur Chini Mills Ltd.,Equity,-0.47%,Equity Savings
Tech Mahindra Ltd.,Equity,-0.59%,Equity Savings
National Thermal Power Corporation Ltd.,Equity,-0.62%,Equity Savings
DLF Ltd.,Equity,-0.66%,Equity Savings
Vodafone Idea Ltd.,Equity,-0.78%,Equity Savings
Steel Authority Of India Ltd.,Equity,-0.90%,Equity Savings
IDFC Ltd.,Equity,-0.91%,Equity Savings
Cipla Ltd.,Equity,-0.97%,Equity Savings
HDFC Bank Ltd.,Equity,-1.03%,Equity Savings
Net Receivables/(Payable),Others,-1.11%,Equity Savings
Punjab National Bank,Equity,-1.23%,Equity Savings
ICICI Bank Ltd.,Equity,-1.47%,Equity Savings
ACC Ltd.,Equity,-1.69%,Equity Savings
Hindustan Petroleum Corporation Ltd.,Equity,-1.71%,Equity Savings
ITC Ltd.,Equity,-1.88%,Equity Savings
GAIL (India) Ltd.,Equity,-1.94%,Equity Savings
Reliance Industries Ltd.,Equity,-1.97%,Equity Savings
Canara Bank,Equity,-2.17%,Equity Savings
Zee Entertainment Enterprises Ltd.,Equity,-2.44%,Equity Savings
Manappuram Finance Ltd.,Equity,-2.68%,Equity Savings
Indus Towers Ltd. (Erstwhile Bharti Infratel Limited),Equity,-2.90%,Equity Savings
Indusind Bank Ltd.,Equity,-3.04%,Equity Savings
Kotak Mahindra Bank Ltd.,Equity,-3.18%,Equity Savings
Adani Ports and Special Economic Zone Ltd.,Equity,-3.30%,Equity Savings
Sun Pharmaceuticals Ind Ltd.,Equity,-4.18%,Equity Savings
Gmr Infrastructure Ltd.,Equity,-5.27%,Equity Savings
Net Receivables/(Payable),Others,34.55%,Equity Savings
HDFC Bank Ltd.,Equity,6.10%,Equity Savings
ICICI Bank Ltd.,Equity,5.91%,Equity Savings
Reliance Industries Ltd.,Equity,5.18%,Equity Savings
Larsen & Toubro Ltd.,Equity,4.06%,Equity Savings
Tata Motors Ltd.,Equity,3.05%,Equity Savings
CBLO(CCIL),Others,2.97%,Equity Savings
Infosys Ltd.,Equity,2.73%,Equity Savings
Tata Consultancy Services Ltd.,Equity,2.41%,Equity Savings
7.26 GOI Aug 22 2032,Debt,2.37%,Equity Savings
Treasury Bill (91D),Others,2.05%,Equity Savings
Treasury Bill (91D),Others,2.04%,Equity Savings
7.18 GOI Jul 24 2037,Debt,2.04%,Equity Savings
Hindustan Unilever Ltd.,Equity,1.94%,Equity Savings
Kotak Mahindra Bank Ltd.,Equity,1.92%,Equity Savings
9 Bharti Telecom Ltd. Dec  4 2028,Debt,1.77%,Equity Savings
Tata Steel Ltd.,Equity,1.56%,Equity Savings
7.8 HDFC Bank Ltd. Sep  6 2032,Debt,1.53%,Equity Savings
Treasury Bill (182D),Others,1.53%,Equity Savings
Treasury Bill (364D),Others,1.53%,Equity Savings
6.54 GOI Jan 17 2032,Debt,1.48%,Equity Savings
Cholamandalam Investment & Finance Company Ltd.,Equity,1.35%,Equity Savings
Indus Towers Ltd. (Erstwhile Bharti Infratel Limited),Equity,1.34%,Equity Savings
Bajaj Finance Ltd.,Equity,1.33%,Equity Savings
DLF Ltd.,Equity,1.24%,Equity Savings
Mahindra & Mahindra Ltd.,Equity,1.21%,Equity Savings
R R Kabel Ltd.,Equity,1.20%,Equity Savings
7.8 Mahanagar Telephone Nigam Ltd. Nov  7 2033,Debt,1.14%,Equity Savings
Ultratech Cement Ltd.,Equity,1.12%,Equity Savings
Bharti Airtel Ltd.,Equity,1.12%,Equity Savings
Sun Pharmaceuticals Ind Ltd.,Equity,1.05%,Equity Savings
7.18 GOI Aug 14 2033,Debt,1.03%,Equity Savings
7.86 HDFC Bank Ltd. Dec  2 2032,Debt,1.02%,Equity Savings
Treasury Bill (182D),Others,1.02%,Equity Savings
Zomato Ltd.,Equity,1.02%,Equity Savings
Grasim Industries Ltd.,Equity,0.89%,Equity Savings
Manappuram Finance Ltd.,Equity,0.87%,Equity Savings
Ambuja Cements Ltd.,Equity,0.84%,Equity Savings
Titan Company Ltd.,Equity,0.83%,Equity Savings
Inox India Ltd.,Equity,0.82%,Equity Savings
Persistent Systems Ltd.,Equity,0.82%,Equity Savings
GOI,Debt,0.79%,Equity Savings
Sona Blw Precision Forgings Ltd.,Equity,0.79%,Equity Savings
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,Equity,0.77%,Equity Savings
Mankind Pharma Ltd.,Equity,0.77%,Equity Savings
Mrs Bectors Food Specialities Ltd.,Equity,0.72%,Equity Savings
ICICI Prudential Life Insurance Company Ltd.,Equity,0.64%,Equity Savings
Birlasoft Ltd.,Equity,0.64%,Equity Savings
SBI Life Insurance Company Ltd.,Equity,0.63%,Equity Savings
Granules India Ltd.,Equity,0.63%,Equity Savings
Tata Technologies Ltd.,Equity,0.61%,Equity Savings
Nestle India Ltd.,Equity,0.60%,Equity Savings
Bharat Heavy Electricals Ltd.,Equity,0.58%,Equity Savings
Netweb Technologies India Ltd.,Equity,0.58%,Equity Savings
Tech Mahindra Ltd.,Equity,0.54%,Equity Savings
Bharat Dynamics Ltd.,Equity,0.53%,Equity Savings
Craftsman Automation Ltd.,Equity,0.53%,Equity Savings
Godrej Consumer Products Ltd.,Equity,0.52%,Equity Savings
8.5 Muthoot Finance Ltd. Jan 29 2026,Debt,0.51%,Equity Savings
7.3 GOI Jun 19 2053,Debt,0.51%,Equity Savings
Hindalco Industries Ltd.,Equity,0.50%,Equity Savings
7.25 GOI Jun 12 2063,Debt,0.50%,Equity Savings
Minda Corporation Ltd.,Equity,0.48%,Equity Savings
Coforge Ltd.,Equity,0.47%,Equity Savings
Dixon Technologies (India) Ltd.,Equity,0.42%,Equity Savings
CreditAccess Grameen Ltd.,Equity,0.41%,Equity Savings
ACC Ltd.,Equity,0.41%,Equity Savings
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,0.41%,Equity Savings
Polycab India Ltd.,Equity,0.38%,Equity Savings
Vedanta Ltd.,Equity,0.37%,Equity Savings
Tata Power Company Ltd.,Equity,0.37%,Equity Savings
Canara Bank,Equity,0.36%,Equity Savings
Sansera Engineering Ltd.,Equity,0.36%,Equity Savings
Apollo Hospitals Enterprise Ltd.,Equity,0.36%,Equity Savings
State Bank Of India,Equity,0.35%,Equity Savings
Crompton Greaves Consumer Electrcials Ltd.,Equity,0.35%,Equity Savings
United Spirits Ltd.,Equity,0.35%,Equity Savings
National Thermal Power Corporation Ltd.,Equity,0.32%,Equity Savings
Teamlease Services Ltd.,Equity,0.29%,Equity Savings
Jio Financial Services Ltd.,Equity,0.28%,Equity Savings
Honasa Consumer Ltd.,Equity,0.28%,Equity Savings
7.99 HDFC Bank Ltd. Jul 11 2024,Debt,0.26%,Equity Savings
India Cements Ltd.,Equity,0.25%,Equity Savings
Pidilite Industries Ltd.,Equity,0.22%,Equity Savings
Punjab National Bank,Equity,0.22%,Equity Savings
7.69 National Bank For Agriculture & Rural Development (Nabard) Mar 31 2032,Debt,0.21%,Equity Savings
Aurobindo Pharma Ltd.,Equity,0.20%,Equity Savings
6.19 GOI Sep 16 2034,Debt,0.19%,Equity Savings
Zee Entertainment Enterprises Ltd.,Equity,0.19%,Equity Savings
Trent Ltd.,Equity,0.18%,Equity Savings
Bandhan Bank Ltd.,Equity,0.16%,Equity Savings
Dr Reddys Laboratories Ltd.,Equity,0.15%,Equity Savings
Torrent Pharmaceuticals Ltd.,Equity,0.14%,Equity Savings
Zydus Lifesciences Ltd.,Equity,0.14%,Equity Savings
Dabur India Ltd.,Equity,0.13%,Equity Savings
Maruti Suzuki India Ltd.,Equity,0.12%,Equity Savings
JSW Steel Ltd.,Equity,0.11%,Equity Savings
Bharat Petroleum Corporation Ltd.,Equity,0.11%,Equity Savings
8.2 Power Grid Corporation Of India Ltd. Jan 23 2030,Debt,0.11%,Equity Savings
National Aluminium Company Ltd.,Equity,0.10%,Equity Savings
Bajaj Finserv Ltd.,Equity,0.07%,Equity Savings
The Indian Hotels Company Ltd.,Equity,0.06%,Equity Savings
NMDC Ltd.,Equity,0.06%,Equity Savings
Jindal Steel & Power Ltd.,Equity,0.06%,Equity Savings
Exide Industries Ltd.,Equity,0.05%,Equity Savings
7.72 GOI Oct 26 2055,Debt,0.04%,Equity Savings
United Breweries Ltd.,Equity,0.04%,Equity Savings
ICICI Lombard General Insurance Company Ltd.,Equity,0.04%,Equity Savings
Hindustan Petroleum Corporation Ltd.,Equity,0.03%,Equity Savings
Biocon Ltd.,Equity,0.03%,Equity Savings
Havells India Ltd.,Equity,0.02%,Equity Savings
Marico Ltd.,Equity,0.02%,Equity Savings
Cipla Ltd.,Equity,0.02%,Equity Savings
Asian Paints Ltd.,Equity,0.01%,Equity Savings
Asian Paints Ltd.,Equity,-0.01%,Equity Savings
Tech Mahindra Ltd.,Equity,-0.02%,Equity Savings
Cipla Ltd.,Equity,-0.02%,Equity Savings
Marico Ltd.,Equity,-0.02%,Equity Savings
Havells India Ltd.,Equity,-0.02%,Equity Savings
Biocon Ltd.,Equity,-0.03%,Equity Savings
Hindustan Petroleum Corporation Ltd.,Equity,-0.03%,Equity Savings
Godrej Consumer Products Ltd.,Equity,-0.04%,Equity Savings
ICICI Lombard General Insurance Company Ltd.,Equity,-0.04%,Equity Savings
United Breweries Ltd.,Equity,-0.04%,Equity Savings
Exide Industries Ltd.,Equity,-0.05%,Equity Savings
DLF Ltd.,Equity,-0.05%,Equity Savings
Jindal Steel & Power Ltd.,Equity,-0.06%,Equity Savings
NMDC Ltd.,Equity,-0.06%,Equity Savings
The Indian Hotels Company Ltd.,Equity,-0.06%,Equity Savings
Bajaj Finserv Ltd.,Equity,-0.07%,Equity Savings
National Aluminium Company Ltd.,Equity,-0.10%,Equity Savings
Bharat Petroleum Corporation Ltd.,Equity,-0.11%,Equity Savings
JSW Steel Ltd.,Equity,-0.11%,Equity Savings
Maruti Suzuki India Ltd.,Equity,-0.12%,Equity Savings
Dabur India Ltd.,Equity,-0.13%,Equity Savings
Zydus Lifesciences Ltd.,Equity,-0.14%,Equity Savings
State Bank Of India,Equity,-0.15%,Equity Savings
Dr Reddys Laboratories Ltd.,Equity,-0.15%,Equity Savings
Bandhan Bank Ltd.,Equity,-0.16%,Equity Savings
Trent Ltd.,Equity,-0.18%,Equity Savings
Zee Entertainment Enterprises Ltd.,Equity,-0.19%,Equity Savings
Aurobindo Pharma Ltd.,Equity,-0.20%,Equity Savings
Punjab National Bank,Equity,-0.22%,Equity Savings
Pidilite Industries Ltd.,Equity,-0.23%,Equity Savings
United Spirits Ltd.,Equity,-0.24%,Equity Savings
India Cements Ltd.,Equity,-0.25%,Equity Savings
ICICI Prudential Life Insurance Company Ltd.,Equity,-0.26%,Equity Savings
Crompton Greaves Consumer Electrcials Ltd.,Equity,-0.35%,Equity Savings
Apollo Hospitals Enterprise Ltd.,Equity,-0.36%,Equity Savings
Canara Bank,Equity,-0.37%,Equity Savings
Vedanta Ltd.,Equity,-0.37%,Equity Savings
ACC Ltd.,Equity,-0.41%,Equity Savings
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,-0.41%,Equity Savings
Sun Pharmaceuticals Ind Ltd.,Equity,-0.43%,Equity Savings
Infosys Ltd.,Equity,-0.48%,Equity Savings
Hindalco Industries Ltd.,Equity,-0.51%,Equity Savings
Bharat Heavy Electricals Ltd.,Equity,-0.59%,Equity Savings
Granules India Ltd.,Equity,-0.63%,Equity Savings
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,Equity,-0.78%,Equity Savings
Ambuja Cements Ltd.,Equity,-0.85%,Equity Savings
Manappuram Finance Ltd.,Equity,-0.88%,Equity Savings
Grasim Industries Ltd.,Equity,-0.89%,Equity Savings
Tata Consultancy Services Ltd.,Equity,-1.18%,Equity Savings
Indus Towers Ltd. (Erstwhile Bharti Infratel Limited),Equity,-1.35%,Equity Savings
Tata Steel Ltd.,Equity,-1.57%,Equity Savings
Tata Motors Ltd.,Equity,-1.74%,Equity Savings
Larsen & Toubro Ltd.,Equity,-1.88%,Equity Savings
Kotak Mahindra Bank Ltd.,Equity,-1.93%,Equity Savings
Hindustan Unilever Ltd.,Equity,-1.95%,Equity Savings
ICICI Bank Ltd.,Equity,-2.89%,Equity Savings
Reliance Industries Ltd.,Equity,-3.12%,Equity Savings
HDFC Bank Ltd.,Equity,-4.11%,Equity Savings
Derivative,Others,47.65%,Equity Savings
Bandhan Mutual Fund,Debt,8.74%,Equity Savings
Reliance Industries Ltd.,Equity,6.69%,Equity Savings
7.58 Power Finance Corporation Ltd. Jan 15 2026,Debt,4.87%,Equity Savings
7.58 National Bank For Agriculture & Rural Development (Nabard) Jul 31 2026,Debt,4.85%,Equity Savings
7.38 Kotak Mahindra Prime Ltd. Aug 20 2025,Debt,4.82%,Equity Savings
Aurobindo Pharma Ltd.,Equity,4.65%,Equity Savings
Bajaj Finance Ltd.,Equity,4.58%,Equity Savings
Tata Power Company Ltd.,Equity,4.16%,Equity Savings
Tata Consultancy Services Ltd.,Equity,4.05%,Equity Savings
Pidilite Industries Ltd.,Equity,3.71%,Equity Savings
HDFC Bank Ltd.,Equity,3.57%,Equity Savings
Triparty Repo,Others,3.21%,Equity Savings
Sun Pharmaceuticals Ind Ltd.,Equity,3.09%,Equity Savings
JSW Steel Ltd.,Equity,3.02%,Equity Savings
ICICI Bank Ltd.,Equity,2.97%,Equity Savings
Marico Ltd.,Equity,2.89%,Equity Savings
Dabur India Ltd.,Equity,2.72%,Equity Savings
Tata Motors Ltd.,Equity,2.60%,Equity Savings
HCL Technologies Ltd.,Equity,2.40%,Equity Savings
Torrent Pharmaceuticals Ltd.,Equity,2.25%,Equity Savings
Larsen & Toubro Ltd.,Equity,2.06%,Equity Savings
Cash Margin,Debt,1.95%,Equity Savings
Current Assets,Others,1.83%,Equity Savings
Mahindra & Mahindra Ltd.,Equity,1.42%,Equity Savings
7.38 GOI Jun 20 2027,Debt,1.18%,Equity Savings
Bharti Airtel Ltd.,Equity,1.02%,Equity Savings
Tech Mahindra Ltd.,Equity,0.89%,Equity Savings
Infosys Ltd.,Equity,0.87%,Equity Savings
ITC Ltd.,Equity,0.84%,Equity Savings
SBI Life Insurance Company Ltd.,Equity,0.84%,Equity Savings
Hindustan Unilever Ltd.,Equity,0.82%,Equity Savings
Maruti Suzuki India Ltd.,Equity,0.77%,Equity Savings
Kotak Mahindra Bank Ltd.,Equity,0.65%,Equity Savings
Axis Bank Ltd.,Equity,0.64%,Equity Savings
National Thermal Power Corporation Ltd.,Equity,0.60%,Equity Savings
Mphasis Ltd.,Equity,0.58%,Equity Savings
Indusind Bank Ltd.,Equity,0.56%,Equity Savings
Cipla Ltd.,Equity,0.52%,Equity Savings
SBI Cards & Payment Services Pvt. Ltd.,Equity,0.50%,Equity Savings
Avenue Supermarts Ltd.,Equity,0.49%,Equity Savings
United Breweries Ltd.,Equity,0.48%,Equity Savings
Bosch Ltd.,Equity,0.46%,Equity Savings
State Bank Of India,Equity,0.38%,Equity Savings
IPCA Laboratories Ltd.,Equity,0.33%,Equity Savings
The Ramco Cements Ltd.,Equity,0.32%,Equity Savings
Poonawalla Fincorp Ltd. (Erstwhile Magma Fincorp Ltd.),Equity,0.31%,Equity Savings
V-Mart Retail Ltd.,Equity,0.30%,Equity Savings
Laurus Labs Ltd.,Equity,0.25%,Equity Savings
Thermax Ltd.,Equity,0.22%,Equity Savings
Cash Margin,Debt,0.02%,Equity Savings
Cash,Others,0.01%,Equity Savings
5.5 Britannia Industries Ltd. Jun  3 2024,Debt,0.00%,Equity Savings
Net Receivables/(Payable),Others,-0.13%,Equity Savings
HDFC Bank Ltd.,Equity,-0.74%,Equity Savings
SBI Life Insurance Company Ltd.,Equity,-0.85%,Equity Savings
Tech Mahindra Ltd.,Equity,-0.90%,Equity Savings
Larsen & Toubro Ltd.,Equity,-1.14%,Equity Savings
Mahindra & Mahindra Ltd.,Equity,-1.42%,Equity Savings
ICICI Bank Ltd.,Equity,-1.44%,Equity Savings
Tata Motors Ltd.,Equity,-2.08%,Equity Savings
Torrent Pharmaceuticals Ltd.,Equity,-2.26%,Equity Savings
HCL Technologies Ltd.,Equity,-2.41%,Equity Savings
Dabur India Ltd.,Equity,-2.74%,Equity Savings
Sun Pharmaceuticals Ind Ltd.,Equity,-2.85%,Equity Savings
Marico Ltd.,Equity,-2.92%,Equity Savings
JSW Steel Ltd.,Equity,-3.04%,Equity Savings
Tata Consultancy Services Ltd.,Equity,-3.39%,Equity Savings
Bajaj Finance Ltd.,Equity,-3.60%,Equity Savings
Pidilite Industries Ltd.,Equity,-3.75%,Equity Savings
Tata Power Company Ltd.,Equity,-4.18%,Equity Savings
Aurobindo Pharma Ltd.,Equity,-4.69%,Equity Savings
Reliance Industries Ltd.,Equity,-5.08%,Equity Savings
Derivative,Others,33.07%,Equity Savings
HDFC Bank Ltd.,Equity,6.34%,Equity Savings
5.63 GOI Apr 12 2026,Debt,6.15%,Equity Savings
ICICI Bank Ltd.,Equity,5.23%,Equity Savings
Triparty Repo,Others,4.49%,Equity Savings
Reliance Industries Ltd.,Equity,4.01%,Equity Savings
ITC Ltd.,Equity,3.25%,Equity Savings
Indusind Bank Ltd.,Equity,2.94%,Equity Savings
Tata Power Company Ltd.,Equity,2.94%,Equity Savings
8.5 JM Financial Products Ltd. May 16 2025,Debt,2.93%,Equity Savings
Bajaj Finance Ltd.,Equity,2.84%,Equity Savings
Sun Pharmaceuticals Ind Ltd.,Equity,2.67%,Equity Savings
Larsen & Toubro Ltd.,Equity,2.64%,Equity Savings
Tata Motors Ltd.,Equity,2.59%,Equity Savings
6.75 Piramal Capital & Housing Finance Ltd. (Erstwhile Dewan Housing Finance Corporation Ltd.) Sep 26 2031,Debt,2.42%,Equity Savings
5.15 GOI Nov  9 2025,Debt,2.05%,Equity Savings
6.73 Tamil Nadu SDL May 13 2030,Debt,2.03%,Equity Savings
6.91 Maharashtra SDL  Sep 15 2033,Debt,2.01%,Equity Savings
Ambuja Cements Ltd.,Equity,1.98%,Equity Savings
Brookfield REIT,Others,1.97%,Equity Savings
Tata Steel Ltd.,Equity,1.82%,Equity Savings
Bajaj Finserv Ltd.,Equity,1.78%,Equity Savings
Maruti Suzuki India Ltd.,Equity,1.74%,Equity Savings
Hindalco Industries Ltd.,Equity,1.68%,Equity Savings
Ltimindtree Ltd.,Equity,1.38%,Equity Savings
Adani Ports and Special Economic Zone Ltd.,Equity,1.32%,Equity Savings
Ultratech Cement Ltd.,Equity,1.31%,Equity Savings
8.15 Export Import Bank Of India Jan 21 2030,Debt,1.30%,Equity Savings
7.74 Hindustan Petroleum Corporation Ltd. Mar  2 2028,Debt,1.27%,Equity Savings
7.79 Small Industries Development Bank Of India May 14 2027,Debt,1.27%,Equity Savings
9.95 Indostar Capital Finance Ltd. Mar 21 2025,Debt,1.26%,Equity Savings
7.18 Maharashtra SDL  Jun 28 2029,Debt,1.25%,Equity Savings
Tata Consultancy Services Ltd.,Equity,1.08%,Equity Savings
Trent Ltd.,Equity,1.02%,Equity Savings
Bharti Airtel Ltd.,Equity,1.02%,Equity Savings
HCL Technologies Ltd.,Equity,0.96%,Equity Savings
Axis Bank Ltd.,Equity,0.94%,Equity Savings
Nestle India Ltd.,Equity,0.90%,Equity Savings
NLC India Ltd.,Equity,0.85%,Equity Savings
Hitachi Energy India Ltd.,Equity,0.81%,Equity Savings
Zomato Ltd.,Equity,0.78%,Equity Savings
Net Receivables/(Payable),Others,0.78%,Equity Savings
TVS Motor Company Ltd.,Equity,0.76%,Equity Savings
State Bank Of India,Equity,0.75%,Equity Savings
Affle (India) Ltd.,Equity,0.66%,Equity Savings
eClerx Services Ltd.,Equity,0.66%,Equity Savings
Tech Mahindra Ltd.,Equity,0.65%,Equity Savings
PVR INOX Ltd.,Equity,0.63%,Equity Savings
Concord Biotech Ltd.,Equity,0.63%,Equity Savings
Brigade Enterprises Ltd.,Equity,0.63%,Equity Savings
Ajanta Pharma Ltd.,Equity,0.62%,Equity Savings
Hindustan Unilever Ltd.,Equity,0.61%,Equity Savings
BSE Ltd.,Equity,0.59%,Equity Savings
The Jammu & Kashmir Bank Ltd.,Equity,0.55%,Equity Savings
The Indian Hotels Company Ltd.,Equity,0.53%,Equity Savings
Westlife Foodworld Ltd.,Equity,0.51%,Equity Savings
Punjab National Bank,Equity,0.51%,Equity Savings
Coforge Ltd.,Equity,0.50%,Equity Savings
Birla Corporation Ltd.,Equity,0.46%,Equity Savings
Titan Company Ltd.,Equity,0.44%,Equity Savings
SRF Ltd.,Equity,0.43%,Equity Savings
Tata Communications Ltd.,Equity,0.41%,Equity Savings
Five-Star Business Finance Ltd.,Equity,0.37%,Equity Savings
India Shelter Finance Corporation Ltd.,Equity,0.07%,Equity Savings
5.5 Britannia Industries Ltd. Jun  3 2024,Debt,0.00%,Equity Savings
SRF Ltd.,Equity,-0.44%,Equity Savings
Bharti Airtel Ltd.,Equity,-0.50%,Equity Savings
Hindustan Unilever Ltd.,Equity,-0.61%,Equity Savings
HCL Technologies Ltd.,Equity,-0.96%,Equity Savings
Larsen & Toubro Ltd.,Equity,-1.04%,Equity Savings
Adani Ports and Special Economic Zone Ltd.,Equity,-1.33%,Equity Savings
Hindalco Industries Ltd.,Equity,-1.69%,Equity Savings
Sun Pharmaceuticals Ind Ltd.,Equity,-1.72%,Equity Savings
Maruti Suzuki India Ltd.,Equity,-1.76%,Equity Savings
Bajaj Finance Ltd.,Equity,-1.79%,Equity Savings
Bajaj Finserv Ltd.,Equity,-1.80%,Equity Savings
Tata Steel Ltd.,Equity,-1.83%,Equity Savings
Tata Motors Ltd.,Equity,-1.90%,Equity Savings
Indusind Bank Ltd.,Equity,-1.91%,Equity Savings
Ambuja Cements Ltd.,Equity,-2.00%,Equity Savings
Reliance Industries Ltd.,Equity,-2.04%,Equity Savings
HDFC Bank Ltd.,Equity,-2.12%,Equity Savings
ITC Ltd.,Equity,-2.21%,Equity Savings
ICICI Bank Ltd.,Equity,-2.47%,Equity Savings
Tata Power Company Ltd.,Equity,-2.96%,Equity Savings
Derivative,Others,34.16%,Equity Savings
7.38 GOI Jun 20 2027,Debt,8.33%,Equity Savings
HDFC Bank Ltd.,Equity,6.78%,Equity Savings
Triparty Repo,Others,5.90%,Equity Savings
Reliance Industries Ltd.,Equity,4.64%,Equity Savings
ICICI Bank Ltd.,Equity,3.40%,Equity Savings
7.7 HDFC Bank Ltd. May 16 2028,Debt,3.29%,Equity Savings
7.13 Power Finance Corporation Ltd. Aug  8 2025,Debt,3.23%,Equity Savings
Axis Bank Ltd.,Others,3.12%,Equity Savings
5.74 GOI Nov 15 2026,Debt,3.09%,Equity Savings
Small Industries Development Bank Of India,Others,3.06%,Equity Savings
Axis Bank Ltd.,Equity,2.84%,Equity Savings
IDFC Ltd.,Equity,2.34%,Equity Savings
Vodafone Idea Ltd.,Equity,2.29%,Equity Savings
Jindal Steel & Power Ltd.,Equity,2.28%,Equity Savings
Zee Entertainment Enterprises Ltd.,Equity,2.04%,Equity Savings
Sun Pharmaceuticals Ind Ltd.,Equity,1.89%,Equity Savings
Bajaj Finance Ltd.,Equity,1.83%,Equity Savings
IPCA Laboratories Ltd.,Equity,1.80%,Equity Savings
Indus Towers Ltd. (Erstwhile Bharti Infratel Limited),Equity,1.79%,Equity Savings
SBI Life Insurance Company Ltd.,Equity,1.55%,Equity Savings
Hero Motocorp Ltd.,Equity,1.48%,Equity Savings
ITC Ltd.,Equity,1.43%,Equity Savings
7.26 GOI Feb  6 2033,Debt,1.31%,Equity Savings
Suven Pharmaceuticals Ltd.,Equity,1.29%,Equity Savings
Hindustan Copper Ltd.,Equity,1.21%,Equity Savings
NMDC Ltd.,Equity,1.10%,Equity Savings
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,1.06%,Equity Savings
Bandhan Bank Ltd.,Equity,1.02%,Equity Savings
Eureka Forbes Ltd.,Equity,1.02%,Equity Savings
ICICI Lombard General Insurance Company Ltd.,Equity,1.00%,Equity Savings
Ambuja Cements Ltd.,Equity,0.99%,Equity Savings
Alembic Pharmaceuticals Ltd.,Equity,0.96%,Equity Savings
Jubilant Ingrevia Ltd.,Equity,0.96%,Equity Savings
Adani Enterprises Ltd.,Equity,0.95%,Equity Savings
Tech Mahindra Ltd.,Equity,0.94%,Equity Savings
HCL Technologies Ltd.,Equity,0.91%,Equity Savings
India Cements Ltd.,Equity,0.83%,Equity Savings
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,0.79%,Equity Savings
Cash Margin,Debt,0.76%,Equity Savings
Power Grid Infrastructure Investment Trust,Others,0.73%,Equity Savings
Cipla Ltd.,Equity,0.72%,Equity Savings
Punjab National Bank,Equity,0.72%,Equity Savings
SBI Cards & Payment Services Pvt. Ltd.,Equity,0.72%,Equity Savings
Oil & Natural Gas Corporation Ltd.,Equity,0.72%,Equity Savings
Sharda Cropchem Ltd.,Equity,0.68%,Equity Savings
7.18 GOI Aug 14 2033,Debt,0.65%,Equity Savings
7.37 GOI Oct 23 2028,Debt,0.65%,Equity Savings
Teamlease Services Ltd.,Equity,0.59%,Equity Savings
