Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,Sector,CMP / BV,ROA 12M  %,Debt / Eq,ROE  %,Prom. Hold.  %,Earnings Yield  %,Pledged  %,Ind PE,EV  Rs.Cr.,No. Eq. Shares  Cr.,B.V.  Rs.,Inven TO,Quick Rat,Export  %,Piotski Scr,G Factor,Asset Turnover,Leverage,Unpledged Prom Hold  %,ROIC  %,Debtor days,Ind PBV,Credit Rate,WC Days,BEP  %,Graham's Number  Rs.,Cash Cycle,Days Payable,Days Receivable,Inventory Days,Public Hold  %,FII Hold  %,Chg in FII Hold  %,DII Hold  %,Chg in DII Hold  %,Symbol
Hind.Construct.,29.0,,4387.78,0.0,52.73,118.79,2564.83,15.07,16.93,Construction,,-3.16,,,18.59,9.26,85.32,30.95,8745.81,151.3,-4.72,0.28,1.02,0.0,5,3,0.72,-19.14,2.73,9.23,80.75,1.44,,-2.65,6.15,,80.75,,80.75,,63.99,5.64,-6.65,11.76,-0.69,Not Found
Patel Engineerin,56.5,23.98,4370.94,0.0,43.4,46.93,1118.61,24.14,13.93,Construction,1.51,2.12,0.61,6.93,39.42,10.86,88.67,30.95,5928.83,77.36,37.33,0.02,0.45,9.25,7,7,0.49,2.99,4.47,11.97,46.16,1.44,,231.55,7.36,44.53,46.16,,46.16,,44.15,2.38,0.28,9.25,0.05,NSE : PATELENG
Havells India,1377.75,77.39,86340.06,0.54,287.07,18.06,4833.8,13.88,22.31,Consumer Durables,13.03,9.89,0.03,16.97,59.43,1.81,0.0,59.52,84692.99,62.67,105.75,3.43,0.83,0.0,5,5,1.56,1.64,59.43,16.59,21.02,10.14,,26.24,13.75,205.83,55.34,85.14,21.02,119.46,6.95,23.79,0.68,9.68,-0.59,NSE : HAVELLS
Dixon Technolog.,5057.25,108.81,30121.06,0.06,67.19,47.9,3271.5,14.59,25.75,Consumer Durables,23.44,5.7,0.16,22.36,34.04,1.44,1.13,39.48,30092.14,5.96,215.73,10.43,0.74,0.0,6,5,2.72,3.49,33.65,20.03,51.36,2.2,,0.72,9.25,476.75,1.88,81.2,51.36,31.72,26.36,15.0,2.96,24.61,0.85,NSE : DIXON
Voltas,870.05,87.12,28788.63,0.49,129.42,18.75,3359.86,21.38,9.74,Consumer Durables,5.28,2.44,0.12,4.42,30.3,2.19,0.0,34.62,28730.83,33.09,164.77,4.55,0.98,0.0,3,3,0.95,1.83,30.3,9.75,84.22,4.32,,54.39,6.13,131.96,13.94,149.04,84.22,78.76,16.78,19.08,-1.5,33.63,0.49,NSE : VOLTAS
Whirlpool India,1631.55,122.32,20699.47,0.31,62.27,-20.06,1922.85,-3.07,8.22,Consumer Durables,6.66,3.6,0.03,6.08,75.0,1.24,0.0,62.59,19277.51,12.69,244.87,3.31,1.18,4.94,5,2,1.21,1.65,75.0,7.23,23.42,5.87,,15.09,4.53,271.09,8.23,135.04,23.42,119.84,9.23,3.31,0.11,12.47,0.12,NSE : WHIRLPOOL
Crompton Gr. Con,303.05,41.65,19385.48,0.99,122.03,-5.59,1876.85,0.75,18.49,Consumer Durables,7.25,7.87,0.38,18.12,0.0,3.46,0.0,59.52,20281.11,63.97,41.82,6.42,0.56,0.0,6,3,1.14,2.28,0.0,15.7,35.63,10.14,,11.48,12.4,82.92,12.89,80.74,35.63,58.01,16.3,35.0,-4.64,48.49,4.32,Not Found
Blue Star,745.25,49.81,14355.59,1.61,83.37,12.26,2226.0,12.59,24.46,Consumer Durables,10.79,5.66,0.5,23.41,38.91,3.11,0.0,34.62,14770.27,19.26,69.09,3.31,0.71,0.0,6,5,1.64,3.65,38.91,19.26,70.87,4.32,,24.09,8.51,181.81,-22.07,216.53,70.87,123.6,25.54,11.06,0.61,24.51,-0.62,NSE : BLUESTARCO
Bajaj Electrical,1177.6,58.91,13554.41,0.34,43.33,-4.7,1112.03,-1.03,18.48,Consumer Durables,6.91,5.19,0.05,12.2,62.85,2.77,2.55,62.59,13286.62,11.51,170.41,3.68,0.9,0.0,8,2,1.24,2.22,61.25,16.53,99.74,5.87,,30.57,7.8,276.49,49.55,153.33,99.74,103.14,14.26,10.92,-0.3,11.96,-0.43,NSE : BAJAJELEC
Kaynes Tech,1990.9,111.85,11575.59,0.0,25.19,109.39,290.59,51.61,21.53,Consumer Durables,12.08,9.44,0.15,16.33,63.57,1.54,0.0,48.81,11241.59,5.81,164.83,2.51,2.05,9.58,6,5,1.08,1.05,63.57,11.54,74.0,5.18,,154.39,12.36,262.98,162.39,102.19,74.0,190.58,15.35,7.96,-0.2,13.12,0.16,NSE : KAYNES
TTK Prestige,802.0,45.05,11116.84,0.75,47.31,-11.22,587.62,-6.59,18.16,Consumer Durables,5.73,10.11,0.07,13.78,70.41,3.22,0.0,62.59,10652.18,13.86,139.85,2.87,2.06,0.0,4,3,1.11,1.29,70.41,14.47,43.77,5.87,,70.27,13.27,237.7,114.49,59.61,43.77,130.33,8.0,7.93,-0.7,13.66,0.16,NSE : TTKPRESTIG
Amber Enterp.,2972.2,62.02,10014.45,0.0,46.61,8.54,1701.99,-6.78,10.85,Consumer Durables,5.25,2.98,0.76,8.75,40.32,3.29,0.0,48.81,10910.11,3.37,566.51,6.13,0.74,0.0,6,2,1.24,2.92,40.32,7.78,92.9,5.18,,22.39,5.76,779.92,17.47,143.31,92.9,67.88,22.84,24.2,0.29,12.66,-0.89,NSE : AMBER
CRISIL,3929.05,47.7,28723.85,1.22,150.58,9.99,771.02,15.33,41.06,Credit Rating Agencies,14.92,20.81,0.03,32.93,66.67,2.76,0.0,37.13,28583.75,7.31,263.37,,1.99,0.0,6,4,1.04,1.49,66.67,55.78,100.04,8.12,,8.29,26.99,698.83,100.04,,100.04,,12.99,7.17,0.27,13.18,0.02,NSE : CRISIL
ICRA,5708.7,35.71,5509.6,0.7,40.63,89.69,102.71,11.01,20.05,Credit Rating Agencies,5.8,13.15,0.01,15.07,51.87,3.71,0.0,37.13,5281.13,0.97,984.62,,2.29,0.0,7,3,0.39,1.09,51.87,62.45,34.44,8.12,,-61.63,17.79,1881.94,34.44,,34.44,,15.79,7.71,0.07,24.3,-0.43,NSE : ICRA
CARE Ratings,825.45,27.99,2454.08,2.06,18.36,30.29,66.42,21.72,18.83,Credit Rating Agencies,3.65,11.42,0.03,12.66,0.0,5.47,0.0,37.13,2415.11,2.97,226.33,,10.19,0.0,6,6,0.37,1.11,0.0,13.18,28.14,8.12,,640.71,17.14,387.87,28.14,,28.14,,56.57,20.25,0.22,23.17,-0.62,NSE : CARERATING
O N G C,181.75,5.69,228646.57,6.19,17382.97,58.7,163823.59,-10.43,14.69,Crude Oil & Natural Gas,0.81,6.38,0.51,14.13,58.89,20.67,0.0,12.58,341761.05,1258.03,223.09,5.38,0.49,0.79,6,7,1.06,2.13,58.89,33.81,10.82,1.07,,-9.2,11.52,387.52,26.58,45.7,10.82,61.45,2.87,8.11,0.14,19.84,-0.03,NSE : ONGC
Oil India,273.05,4.04,29609.68,7.32,1399.49,-49.93,6208.22,-41.86,26.8,Crude Oil & Natural Gas,0.77,14.53,0.49,25.23,56.66,25.64,0.0,12.58,44982.13,108.44,354.86,1.75,1.02,0.0,9,7,0.53,1.76,56.66,81.59,24.27,1.07,,25.64,15.55,735.65,185.42,82.73,24.27,243.88,6.11,11.03,-0.38,16.36,0.1,NSE : OIL
Hind.Oil Explor.,166.0,9.15,2195.24,0.0,66.07,104.23,167.61,87.44,20.42,Crude Oil & Natural Gas,2.32,12.2,0.39,24.24,0.0,11.47,0.0,12.58,2481.86,13.22,71.63,-1.06,0.71,0.0,8,5,0.33,1.78,0.0,16.9,76.37,1.07,,75.34,15.39,166.6,76.37,,76.37,,97.77,0.74,0.12,1.45,-1.36,Not Found
Asian Energy,148.45,,569.97,0.0,-3.03,64.18,46.02,67.71,-15.32,Crude Oil & Natural Gas,2.86,-12.09,0.11,-17.37,63.07,-5.03,0.0,12.58,564.2,3.84,51.95,,1.92,0.0,2,4,0.35,1.59,63.07,-18.12,354.31,1.07,,251.17,-9.56,,354.31,,354.31,,35.93,0.0,-0.01,0.0,0.0,NSE : ASIANENE
Selan Expl. Tech,348.25,19.74,529.34,1.44,5.04,-44.49,28.12,-6.64,11.74,Crude Oil & Natural Gas,1.47,7.69,0.01,8.96,30.46,7.09,0.0,12.58,508.91,1.52,236.77,-0.03,11.35,0.0,7,2,0.29,1.12,30.46,7.87,58.34,1.07,,597.6,8.46,306.54,58.34,,58.34,,65.75,3.78,0.0,0.0,0.0,Not Found
Aban Offshore,48.15,,281.03,0.0,-333.25,-56.6,104.57,-30.21,,Crude Oil & Natural Gas,,-50.3,,,46.0,-1.02,19.37,12.58,15267.37,5.84,-3820.21,0.03,0.03,0.0,5,1,0.17,-0.11,37.09,,300.67,1.07,,-7628.6,-8.98,,300.67,,300.67,,52.02,0.12,-0.05,1.86,0.0,NSE - BE : ABAN
Guj.Nat.Resour.,13.89,,111.47,0.0,1.2,168.18,6.13,64.34,-0.74,Crude Oil & Natural Gas,0.99,-2.68,0.32,-3.76,10.77,1.13,0.0,12.58,141.3,8.03,14.09,0.0,2.19,0.0,5,5,0.08,1.41,10.77,-1.0,50.18,1.07,,1455.06,0.98,,50.18,,50.18,,89.22,0.0,0.0,0.0,0.0,Not Found
Titan Company,3116.8,85.99,276705.19,0.32,756.0,-4.08,11897.0,25.99,25.13,"Diamond, Gems and Jewellery",23.35,13.59,0.79,30.75,52.9,1.66,0.0,32.0,284729.19,88.78,133.49,2.01,0.28,0.0,6,5,1.68,2.03,52.9,19.72,6.06,1.59,,120.51,17.47,329.95,190.88,14.6,6.06,199.41,17.93,18.53,1.02,10.46,-0.77,NSE : TITAN
Kalyan Jewellers,245.5,51.65,25287.8,0.2,143.55,33.2,4375.74,31.3,12.69,"Diamond, Gems and Jewellery",6.96,4.64,1.18,13.46,60.55,3.37,0.0,32.0,28601.41,103.01,35.29,1.86,0.24,0.0,9,5,1.43,2.7,60.55,9.43,6.34,1.59,,124.21,9.01,60.13,185.3,36.67,6.34,215.63,7.2,27.09,-2.56,5.17,2.54,NSE : KALYANKJIL
Rajesh Exports,500.05,10.04,14764.47,0.2,309.36,13.84,85688.59,73.12,10.3,"Diamond, Gems and Jewellery",1.0,6.12,0.05,10.54,54.05,11.28,0.0,32.0,13392.13,29.53,498.67,49.23,1.67,0.0,6,3,14.52,1.59,54.05,10.07,11.13,1.59,,10.84,6.6,747.37,9.93,7.74,11.13,6.54,18.29,16.5,-1.1,11.16,-0.1,NSE : RAJESHEXPO
Vaibhav Global,449.35,64.73,7427.66,1.34,29.57,51.02,658.25,4.77,11.13,"Diamond, Gems and Jewellery",6.17,6.06,0.16,9.02,57.21,2.25,0.0,32.0,7381.76,16.53,72.8,1.57,1.06,0.0,4,4,1.55,1.45,57.21,8.45,32.61,1.59,,77.36,9.31,106.81,175.69,95.28,32.61,238.37,14.59,21.89,0.25,6.24,-0.12,NSE : VAIBHAVGBL
Thangamayil Jew.,1255.15,28.85,3444.03,0.48,58.61,208.8,960.1,16.18,16.82,"Diamond, Gems and Jewellery",8.85,7.41,1.46,22.37,67.16,5.04,8.79,32.0,3936.0,2.74,141.89,3.26,0.18,0.0,7,4,2.93,2.77,61.26,11.22,0.37,1.59,,86.15,15.9,372.93,125.11,2.57,0.37,127.31,21.17,0.2,0.04,11.46,0.0,NSE : THANGAMAYL
Senco Gold,408.1,20.0,3169.43,0.0,27.67,22.71,1305.4,29.6,17.24,"Diamond, Gems and Jewellery",,7.54,1.41,21.8,68.48,7.72,0.0,32.0,3916.76,7.77,,2.46,0.34,0.0,3,5,1.94,2.89,68.48,13.21,3.54,1.59,,105.6,14.39,,139.15,12.51,3.54,148.12,8.8,14.69,,8.05,,NSE : SENCO
Goldiam Intl.,126.15,17.08,1374.71,1.59,17.3,-18.58,119.77,-11.22,21.15,"Diamond, Gems and Jewellery",2.35,12.74,0.0,15.27,66.6,8.61,0.0,32.0,1271.4,10.9,53.74,1.66,3.66,0.0,6,5,0.8,1.14,66.6,14.81,100.85,1.59,,290.65,15.52,94.5,264.24,93.47,100.85,256.86,33.41,0.0,-0.06,0.0,0.0,NSE : GOLDIAM
Asian Star Co.,773.05,14.67,1237.65,0.19,23.54,6.37,924.49,-26.92,6.17,"Diamond, Gems and Jewellery",0.86,3.38,0.44,6.06,74.66,8.37,0.0,32.0,1547.24,1.6,895.59,5.75,1.54,0.0,8,2,1.81,1.72,74.66,4.78,85.53,1.59,,125.78,5.17,1028.39,123.32,35.33,85.53,73.12,21.01,0.0,0.0,4.33,0.0,BSE: 531847
PC Jeweller,26.55,,1235.65,0.0,-171.62,-330.58,67.68,-87.64,5.22,"Diamond, Gems and Jewellery",0.33,-2.68,1.01,-5.36,54.53,3.76,0.0,32.0,4929.97,46.54,79.3,0.36,0.14,0.0,6,2,0.33,2.06,54.53,6.17,63.45,1.59,,895.48,2.43,,1072.37,3.04,63.45,1011.96,42.98,1.04,-0.61,1.45,0.0,NSE : PCJEWELLER
D. P. Abhushan,491.0,22.76,1092.71,0.2,15.62,20.9,471.47,8.8,24.56,"Diamond, Gems and Jewellery",6.03,11.03,0.61,28.4,75.0,6.39,0.0,32.0,1198.17,2.23,81.36,5.29,0.06,0.0,8,6,4.81,2.27,75.0,18.29,0.12,1.59,,45.67,18.76,198.75,56.25,12.49,0.12,68.63,,,,,,NSE : DPABHUSHAN
3M India,31151.35,70.79,35107.57,0.32,129.21,53.35,1049.66,11.24,31.41,Diversified,20.92,15.76,0.02,23.35,75.0,1.97,0.0,31.08,34333.66,1.13,1489.09,4.51,1.55,0.0,8,3,1.38,1.71,75.0,30.45,58.54,1.72,,33.15,24.88,3840.72,35.74,113.41,58.54,90.61,13.02,3.64,-0.08,8.34,0.41,NSE : 3MINDIA
DCM Shriram,1034.55,22.61,16133.01,1.35,56.58,-77.72,2780.14,-2.5,19.05,Diversified,2.6,8.81,0.28,15.14,66.52,6.96,0.0,22.61,16866.19,15.59,397.18,3.32,0.91,0.0,5,4,1.15,1.62,66.52,13.64,27.47,2.6,,52.51,10.95,639.42,115.32,65.02,27.47,152.87,21.26,2.58,-0.09,8.66,-0.15,NSE : DCMSHRIRAM
Bombay Burmah,979.5,21.68,6834.16,0.12,68.14,63210.0,4086.62,8.24,17.83,Diversified,1.69,-0.62,1.62,-2.01,65.93,22.02,0.0,31.08,9717.54,6.98,578.11,7.22,1.37,0.0,3,4,1.07,3.84,65.93,-40.54,8.57,1.72,,41.14,13.6,,0.8,55.18,8.57,47.41,24.64,8.24,0.29,1.19,0.0,NSE : BBTC
Quess Corp,426.45,39.06,6321.25,1.88,48.12,-28.48,4600.21,15.6,9.74,Diversified,2.46,3.21,0.39,7.36,56.68,4.84,0.0,31.08,6766.47,14.82,173.3,17.23,1.26,0.0,5,5,2.99,2.24,56.68,8.21,31.6,1.72,,17.9,5.35,235.63,31.6,,31.6,,18.94,17.04,-0.88,7.33,0.77,NSE : QUESS
Nava,417.8,6.82,6062.3,1.44,342.75,-12.77,1042.28,1.68,18.55,Diversified,1.01,10.99,0.51,16.59,48.83,19.3,0.0,31.08,8701.23,14.51,415.26,1.84,1.59,0.0,9,3,0.32,1.81,48.83,17.59,241.79,1.72,,297.7,15.11,757.08,444.47,59.27,241.79,261.95,41.96,8.9,-0.48,0.32,0.0,NSE : NAVA
Balmer Lawrie,167.65,17.05,2866.88,4.47,55.85,0.85,592.29,-8.6,10.38,Diversified,1.71,6.56,0.07,10.26,0.0,7.35,0.0,31.08,2540.11,17.1,98.29,8.0,1.77,0.0,8,3,0.91,1.52,0.0,8.03,56.72,1.72,,42.17,7.02,149.59,34.4,68.4,56.72,46.08,95.56,1.95,0.75,2.45,-0.02,NSE : BALMLAWRIE
Rossell India,491.65,79.03,1853.35,0.08,1.32,-74.81,70.35,1.03,10.07,Diversified,6.47,5.68,0.56,10.26,74.8,1.91,0.0,40.53,2014.43,3.77,76.05,0.81,0.33,0.0,6,2,0.73,1.68,74.8,9.26,49.32,1.67,,161.93,7.48,105.32,525.52,105.78,49.32,581.97,20.67,1.48,-0.01,3.06,0.49,NSE : ROSSELLIND
TTK Healthcare,1171.75,29.57,1655.72,0.85,15.67,261.06,202.12,4.93,10.06,Diversified,1.74,74.03,0.03,99.74,74.56,9.33,0.0,40.53,835.89,1.41,674.71,4.5,4.66,0.0,7,4,0.84,0.91,74.56,6.85,46.36,1.67,,17.24,6.66,765.33,4.43,130.63,46.36,88.7,19.76,2.4,0.02,3.27,0.28,NSE : TTKHLTCARE
Andhra Sugars,117.55,11.42,1593.22,1.7,21.69,-72.02,491.86,-25.45,17.05,Diversified,1.03,9.76,0.02,12.68,47.07,12.68,1.31,40.53,1556.62,13.55,113.72,3.71,2.27,0.0,7,4,1.16,1.32,46.46,13.47,35.7,1.67,,97.27,9.7,157.7,136.74,23.79,35.7,124.83,,,,,,NSE : ANDHRSUGAR
Andrew Yule & Co,27.35,87.63,1337.28,0.03,-7.51,25.86,58.58,3.04,3.77,Diversified,3.47,1.8,0.26,3.28,89.25,1.64,0.0,40.53,1387.63,48.9,7.87,3.0,0.8,0.0,6,4,0.54,1.79,89.25,0.98,115.29,1.67,,39.07,3.06,7.27,-33.04,303.65,115.29,155.31,8.53,0.03,0.01,0.0,0.0,NSE : ANDREWYU
HBL Power System,274.3,58.88,7603.46,0.16,51.73,157.83,467.43,46.21,13.6,Dry cells,7.99,8.03,0.09,10.72,59.1,2.32,0.0,79.27,7543.52,27.72,34.32,2.59,1.88,0.0,5,4,1.13,1.28,59.1,10.38,83.21,5.43,,128.49,13.51,60.26,187.52,43.07,83.21,147.39,38.14,2.63,1.72,0.14,0.14,NSE : HBLPOWER
Eveready Inds.,420.15,99.66,3053.65,0.0,24.86,13.78,363.57,8.41,12.91,Dry cells,9.56,2.81,1.25,8.87,43.22,2.75,0.01,79.27,3444.62,7.27,43.95,3.36,0.47,0.0,7,2,1.38,3.01,43.21,14.02,28.15,5.43,,54.51,9.65,64.56,68.94,73.84,28.15,114.64,54.21,0.4,-0.04,2.17,-0.25,NSE : EVEREADY
Indo National,424.95,,318.71,1.18,-3.33,74.27,131.85,0.88,0.87,Dry cells,1.38,-1.61,0.57,-2.41,65.35,1.52,0.0,79.27,427.14,0.75,308.64,3.56,0.97,0.0,3,4,1.11,2.22,65.35,0.77,80.11,5.43,,103.41,1.26,,98.62,69.47,80.11,87.98,34.64,0.0,0.0,0.0,0.0,NSE : NIPPOBATRY
Panasonic Energy,339.95,,254.96,2.21,2.59,34.2,76.81,26.96,-6.86,Dry cells,2.78,-2.72,0.02,-3.76,58.06,-2.12,0.0,79.27,242.04,0.75,122.36,4.19,1.4,0.0,3,6,1.83,1.51,58.06,-6.26,13.73,5.43,,65.96,-3.8,,75.76,33.55,13.73,95.58,41.94,0.0,0.0,0.0,0.0,BSE: 504093
Adani Wilmar,352.25,147.87,45781.18,0.0,-78.92,-140.77,12928.08,-12.2,15.01,Edible Oil,5.61,2.76,0.29,7.41,87.94,2.83,0.0,31.9,44453.37,129.97,62.83,6.86,0.58,0.0,7,4,2.75,2.59,87.94,11.14,12.12,2.26,,8.46,5.99,58.03,6.12,59.72,12.12,53.73,10.85,1.14,-0.13,0.06,-0.05,NSE : AWL
Patanjali Foods,1247.2,61.6,45148.0,0.4,87.75,-63.63,7767.1,7.71,13.4,Edible Oil,4.59,7.17,0.15,10.95,73.82,2.3,0.0,31.9,45461.87,36.2,272.01,8.05,1.17,0.0,3,3,2.55,1.26,73.82,9.56,18.5,2.26,,56.25,7.88,352.02,54.02,17.4,18.5,52.91,13.95,9.8,7.01,2.43,0.17,NSE : PATANJALI
Guj. Ambuja Exp,260.65,20.87,5977.63,0.27,70.82,-38.2,1162.99,-8.63,17.94,Edible Oil,2.45,11.56,0.09,14.48,63.84,6.45,0.0,31.9,6104.1,22.93,106.52,5.83,1.05,30.88,5,5,1.72,1.17,63.84,17.48,20.67,2.26,,60.02,13.3,173.0,74.84,15.06,20.67,69.24,32.02,3.99,-0.75,0.16,0.0,Not Found
Manorama Indust.,1947.2,67.16,2321.03,0.1,11.55,70.61,111.56,52.88,13.16,Edible Oil,7.78,7.25,0.37,10.49,57.26,2.49,0.0,31.9,2371.11,1.19,250.26,1.22,1.17,58.91,6,4,0.86,1.37,57.26,10.0,28.7,2.26,,208.5,13.93,404.05,322.54,7.73,28.7,301.57,36.75,2.6,0.34,3.4,-0.06,NSE : MANORAMA
Gokul Agro,111.25,12.8,1641.42,0.0,24.05,-14.93,2468.86,-13.81,28.21,Edible Oil,2.52,6.9,0.74,23.63,72.57,15.22,14.01,31.9,1793.99,14.75,44.1,14.71,0.76,0.0,4,6,5.6,2.95,62.4,22.4,13.77,2.26,,7.65,12.87,92.85,3.73,33.28,13.77,23.24,27.39,0.05,0.0,0.0,0.0,NSE : GOKULAGRO
BCL Industries,493.3,18.25,1191.32,1.01,19.76,6.87,428.67,14.35,13.63,Edible Oil,2.48,6.95,0.91,15.14,61.31,6.9,4.92,31.9,1621.34,2.42,198.96,5.46,0.54,0.0,3,5,1.96,1.93,58.29,11.3,18.7,2.26,,71.27,10.21,352.79,69.65,32.1,18.7,83.05,38.7,0.0,-0.41,0.0,0.0,NSE : BCLIND
M K Proteins,815.15,95.77,1019.95,0.0,2.49,,76.2,,21.38,Edible Oil,25.73,12.36,0.93,26.89,74.82,1.55,0.0,31.9,1056.72,1.25,31.68,5.73,0.74,0.0,2,3,3.65,2.18,74.82,15.73,33.86,2.26,,84.07,18.96,77.89,91.11,6.45,33.86,63.7,25.17,0.0,0.0,0.0,0.0,NSE : MKPL
Kriti Nutrients,80.4,12.87,402.83,0.31,12.58,504.81,211.82,9.32,19.5,Edible Oil,3.04,11.52,0.3,16.99,66.66,10.76,0.0,31.9,421.46,5.01,26.42,12.6,1.17,0.0,8,5,4.41,1.36,66.66,14.64,5.77,2.26,,41.15,23.49,60.93,35.09,3.47,5.77,32.78,33.34,0.0,0.0,0.0,0.0,NSE : KRITINUT
KN Agri Resource,155.0,13.19,387.48,0.0,18.26,,1169.1,,18.22,Edible Oil,1.36,10.03,0.28,11.53,73.66,10.58,0.0,31.9,466.73,2.5,113.8,12.05,1.79,0.0,3,4,7.64,1.15,73.66,14.63,2.11,2.26,,29.75,12.9,173.44,30.54,1.87,2.11,30.3,21.06,2.6,-0.59,2.68,-0.49,NSE - SM : KNAGRI
Gokul Refoils,30.8,15.37,304.9,0.0,2.53,-63.7,588.02,-37.99,8.17,Edible Oil,0.93,2.84,1.29,7.57,71.8,8.57,0.0,31.9,614.05,9.9,33.15,10.02,0.76,29.33,5,2,3.72,2.57,71.8,6.99,16.1,2.26,,48.35,6.24,38.66,38.91,8.05,16.1,30.87,28.11,0.09,-0.11,0.0,0.0,NSE : GOKUL
CL Educate,79.0,15.59,435.16,0.0,5.47,34.01,90.02,29.32,6.81,Education,1.58,6.08,0.06,8.16,52.51,5.54,0.0,60.42,388.15,5.51,49.9,0.51,2.26,0.0,7,4,0.81,1.31,52.51,9.75,87.24,2.64,,88.07,5.77,57.66,87.24,,87.24,,39.28,8.19,-0.01,0.0,0.0,NSE : CLEDUCATE
Global Education,187.9,14.82,382.58,1.6,6.6,89.66,14.04,16.13,54.26,Education,5.31,35.97,0.0,40.47,73.16,9.1,0.0,60.42,379.71,2.04,35.37,13.73,5.49,0.0,8,7,0.98,0.96,73.16,52.02,84.26,2.64,,125.47,43.13,100.42,-77.8,185.53,84.26,23.48,,,,,,NSE : GLOBAL
Droneacharya Aer,157.2,110.59,377.1,0.0,3.05,,13.58,,11.55,Education,5.69,8.01,0.0,8.45,28.21,1.25,0.0,60.42,374.65,2.4,27.63,,8.13,0.0,4,1,0.44,0.64,28.21,11.65,221.52,2.64,,399.2,6.73,29.81,221.52,,221.52,,66.51,5.27,5.27,0.0,0.0,BSE: 543713
Career Point,204.9,19.7,372.77,0.98,16.25,71.05,28.99,47.83,3.41,Education,0.78,2.26,0.04,2.52,63.68,6.67,0.0,60.42,382.78,1.82,263.57,1.75,7.31,0.0,6,4,0.16,1.13,63.68,3.54,60.97,2.64,,718.11,4.54,247.95,60.97,,60.97,,36.21,0.11,0.09,0.0,0.0,NSE : CAREERP
Drone Destinatio,129.95,129.42,315.78,0.0,,,,,33.21,Education,,18.5,0.09,27.42,85.14,1.13,0.0,60.42,307.08,2.43,,0.4,3.64,0.0,6,0,0.92,0.75,85.14,13.38,201.7,2.64,,107.66,14.7,,201.7,,201.7,,,,,,,NSE - SM : DRONE
Arihant Academy,146.9,44.92,88.95,0.0,0.85,,10.15,,24.2,Education,4.52,10.13,0.0,16.1,73.0,4.26,0.0,60.42,73.49,0.61,32.47,,2.49,0.0,5,4,1.18,0.99,73.0,13.77,6.47,2.64,,-49.57,11.16,42.4,6.47,,6.47,,27.0,0.0,-0.08,0.0,0.0,NSE - SM : ARIHANTACA
VJTF Eduservices,50.0,,88.0,0.0,1.07,-31.41,6.09,7.79,6.57,Education,2.69,0.26,2.11,1.05,64.23,3.67,0.0,60.42,156.55,1.76,18.56,,0.86,0.0,6,3,0.16,3.96,64.23,-54.04,2.64,2.64,,391.37,3.41,,2.64,,2.64,,35.78,0.0,0.0,0.0,0.0,Not Found
Tree House Edu.,15.6,,66.0,0.0,-0.83,41.96,1.95,-6.25,-18.17,Education,0.32,-17.11,0.0,-18.51,20.54,-65.75,99.45,60.42,65.49,4.23,49.31,0.0,2.92,0.0,6,3,0.04,1.2,0.11,-119.21,687.87,2.64,,560.39,-19.84,,687.87,,687.87,,72.33,7.14,0.0,0.0,0.0,NSE : TREEHOUSE
Vantage Knowledg,132.55,29.28,44.5,0.0,0.58,728.57,0.92,607.69,35.49,Education,10.0,20.34,0.0,25.6,12.56,4.71,0.0,60.42,44.34,0.34,13.25,,3.87,0.0,5,3,0.41,1.12,12.56,24.39,635.17,2.64,,638.75,35.36,36.74,635.17,,635.17,,87.4,0.0,0.0,0.04,0.0,BSE: 539761
Humming Bird Edu,684.0,161.27,41.93,0.0,-0.11,,0.61,,17.22,Education,20.45,14.65,0.0,14.44,74.88,0.77,0.0,60.42,40.3,0.06,33.44,,12.24,0.0,6,1,1.23,1.1,74.88,16.11,0.0,2.64,,18.02,13.78,56.49,0.0,,0.0,,25.13,0.0,0.0,0.0,0.0,BSE: 542592
Bharat Electron,137.85,31.92,100765.3,1.31,538.6,47.27,3532.94,12.49,29.96,Electronics,7.27,8.59,0.0,22.79,51.14,4.46,0.0,71.44,92715.06,730.98,18.96,1.63,1.15,0.0,8,5,0.51,2.5,51.14,23.69,144.76,7.16,,28.28,11.66,42.93,261.05,124.16,144.76,240.45,6.68,17.35,0.93,24.84,-0.66,NSE : BEL
Honeywell Auto,39397.6,79.25,34827.48,0.24,103.44,1.44,932.32,18.59,19.54,Electronics,10.92,10.35,0.01,14.54,75.0,1.84,0.0,71.44,32484.31,0.88,3606.3,14.02,3.2,41.38,8,3,0.81,1.33,75.0,14.57,99.28,7.16,,53.9,13.4,6350.8,-12.24,144.3,99.28,32.78,9.62,2.94,0.08,12.44,0.04,NSE : HONAUT
Data Pattern,2469.8,102.0,13826.92,0.18,25.83,81.39,89.69,31.16,19.6,Electronics,11.85,11.52,0.0,14.17,42.41,1.42,0.0,71.44,13284.88,5.6,208.47,1.11,7.81,0.0,3,4,0.42,0.92,42.41,11.07,307.87,7.16,,410.94,13.12,342.31,627.98,91.96,307.87,412.07,41.15,5.32,0.24,11.11,-0.53,NSE : DATAPATTNS
