Sector Name,Dummy,Percentage Allocation,Scheme Name,Fund Type
Miscellaneous,,19.27%,LIC MF Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Fast Moving Consumer Goods,,6.09%,LIC MF Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Information Technology,,5.88%,LIC MF Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Current Assets,,20.84%,Mahindra Manulife Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Financial Services,,20.00%,Mahindra Manulife Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Sovereign,,14.05%,Mahindra Manulife Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Power,,8.09%,Mahindra Manulife Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
"Oil, Gas & Consumable Fuels",,7.73%,Mahindra Manulife Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Financial Services,,35.17%,Mirae Asset Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Sovereign,,11.75%,Mirae Asset Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Current Assets,,7.58%,Mirae Asset Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Information Technology,,6.10%,Mirae Asset Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Automobile and Auto Components,,4.96%,Mirae Asset Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Financial Services,,42.92%,Motilal Oswal Balance Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Current Assets,,20.27%,Motilal Oswal Balance Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Information Technology,,10.69%,Motilal Oswal Balance Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Automobile and Auto Components,,10.54%,Motilal Oswal Balance Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Sovereign,,8.23%,Motilal Oswal Balance Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Financial Services,,33.30%,Nippon India Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Fast Moving Consumer Goods,,7.44%,Nippon India Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Sovereign,,7.21%,Nippon India Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Information Technology,,7.12%,Nippon India Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Telecommunication,,5.31%,Nippon India Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Miscellaneous,,37.83%,NJ Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Information Technology,,16.60%,NJ Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Fast Moving Consumer Goods,,7.69%,NJ Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Capital Goods,,7.46%,NJ Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Financial Services,,6.13%,NJ Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Financial Services,,41.26%,PGIM India Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
"Oil, Gas & Consumable Fuels",,8.44%,PGIM India Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Sovereign,,7.38%,PGIM India Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Healthcare,,6.55%,PGIM India Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Information Technology,,6.14%,PGIM India Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Financial Services,,32.45%,Quant Dynamic Asset Allocation Fund,Dynamic Asset Allocation or Balanced Advantage
"Oil, Gas & Consumable Fuels",,15.02%,Quant Dynamic Asset Allocation Fund,Dynamic Asset Allocation or Balanced Advantage
Automobile and Auto Components,,9.75%,Quant Dynamic Asset Allocation Fund,Dynamic Asset Allocation or Balanced Advantage
Metals & Mining,,9.20%,Quant Dynamic Asset Allocation Fund,Dynamic Asset Allocation or Balanced Advantage
Fast Moving Consumer Goods,,7.99%,Quant Dynamic Asset Allocation Fund,Dynamic Asset Allocation or Balanced Advantage
Miscellaneous,,22.81%,SBI Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Financial Services,,19.48%,SBI Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Sovereign,,15.26%,SBI Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
"Oil, Gas & Consumable Fuels",,7.48%,SBI Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Power,,6.60%,SBI Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Financial Services,,27.21%,Shriram Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Current Assets,,15.15%,Shriram Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Information Technology,,9.28%,Shriram Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
"Oil, Gas & Consumable Fuels",,9.17%,Shriram Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Automobile and Auto Components,,8.81%,Shriram Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Financial Services,,29.53%,Sundaram Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Miscellaneous,,16.12%,Sundaram Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Sovereign,,11.05%,Sundaram Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Information Technology,,6.26%,Sundaram Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Automobile and Auto Components,,6.07%,Sundaram Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Financial Services,,31.70%,Tata Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Miscellaneous,,15.15%,Tata Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Current Assets,,6.45%,Tata Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Sovereign,,6.16%,Tata Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Power,,5.32%,Tata Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Financial Services,,24.54%,Union Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Sovereign,,18.50%,Union Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Miscellaneous,,14.91%,Union Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Information Technology,,5.94%,Union Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Current Assets,,5.68%,Union Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Financial Services,,31.50%,UTI Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Miscellaneous,,15.81%,UTI Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Sovereign,,14.33%,UTI Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Information Technology,,6.90%,UTI Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Automobile and Auto Components,,4.17%,UTI Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Financial Services,,31.77%,UTI Unit Linked Insurance Plan,Dynamic Asset Allocation or Balanced Advantage
Sovereign,,31.05%,UTI Unit Linked Insurance Plan,Dynamic Asset Allocation or Balanced Advantage
Information Technology,,6.17%,UTI Unit Linked Insurance Plan,Dynamic Asset Allocation or Balanced Advantage
Consumer Services,,5.08%,UTI Unit Linked Insurance Plan,Dynamic Asset Allocation or Balanced Advantage
Current Assets,,4.87%,UTI Unit Linked Insurance Plan,Dynamic Asset Allocation or Balanced Advantage
Financial Services,,32.06%,WhiteOak Capital Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Sovereign,,12.93%,WhiteOak Capital Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Miscellaneous,,12.73%,WhiteOak Capital Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Current Assets,,6.06%,WhiteOak Capital Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Information Technology,,5.41%,WhiteOak Capital Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Sovereign,,52.30%,360 ONE Dynamic Bond Fund,Dynamic Bond
Financial Services,,26.70%,360 ONE Dynamic Bond Fund,Dynamic Bond
Power,,7.38%,360 ONE Dynamic Bond Fund,Dynamic Bond
Realty,,5.83%,360 ONE Dynamic Bond Fund,Dynamic Bond
Services,,5.35%,360 ONE Dynamic Bond Fund,Dynamic Bond
Sovereign,,69.80%,Aditya Birla Sun Life Dynamic Bond Fund,Dynamic Bond
Financial Services,,16.16%,Aditya Birla Sun Life Dynamic Bond Fund,Dynamic Bond
Current Assets,,6.88%,Aditya Birla Sun Life Dynamic Bond Fund,Dynamic Bond
Realty,,2.89%,Aditya Birla Sun Life Dynamic Bond Fund,Dynamic Bond
Construction,,1.62%,Aditya Birla Sun Life Dynamic Bond Fund,Dynamic Bond
Financial Services,,44.02%,Axis Dynamic Bond Fund,Dynamic Bond
Sovereign,,29.27%,Axis Dynamic Bond Fund,Dynamic Bond
Power,,11.38%,Axis Dynamic Bond Fund,Dynamic Bond
Construction,,6.58%,Axis Dynamic Bond Fund,Dynamic Bond
Consumer Services,,4.52%,Axis Dynamic Bond Fund,Dynamic Bond
Sovereign,,97.02%,Baroda BNP Paribas Dynamic Bond Fund,Dynamic Bond
Current Assets,,2.78%,Baroda BNP Paribas Dynamic Bond Fund,Dynamic Bond
Mutual Funds,,0.20%,Baroda BNP Paribas Dynamic Bond Fund,Dynamic Bond
Sovereign,,71.69%,Canara Robeco Dynamic Bond Fund,Dynamic Bond
Current Assets,,19.20%,Canara Robeco Dynamic Bond Fund,Dynamic Bond
Financial Services,,8.85%,Canara Robeco Dynamic Bond Fund,Dynamic Bond
Mutual Funds,,0.26%,Canara Robeco Dynamic Bond Fund,Dynamic Bond
Sovereign,,72.82%,DSP Strategic Bond Fund,Dynamic Bond
Financial Services,,26.39%,DSP Strategic Bond Fund,Dynamic Bond
Current Assets,,0.65%,DSP Strategic Bond Fund,Dynamic Bond
Mutual Funds,,0.14%,DSP Strategic Bond Fund,Dynamic Bond
Sovereign,,94.24%,Groww Dynamic Bond Fund,Dynamic Bond
Current Assets,,3.43%,Groww Dynamic Bond Fund,Dynamic Bond
Financial Services,,2.15%,Groww Dynamic Bond Fund,Dynamic Bond
Mutual Funds,,0.17%,Groww Dynamic Bond Fund,Dynamic Bond
Sovereign,,86.35%,HDFC Dynamic Debt Fund,Dynamic Bond
Financial Services,,8.58%,HDFC Dynamic Debt Fund,Dynamic Bond
Current Assets,,3.84%,HDFC Dynamic Debt Fund,Dynamic Bond
Realty,,1.02%,HDFC Dynamic Debt Fund,Dynamic Bond
Mutual Funds,,0.21%,HDFC Dynamic Debt Fund,Dynamic Bond
Sovereign,,62.47%,HSBC Dynamic Bond Fund,Dynamic Bond
Financial Services,,35.49%,HSBC Dynamic Bond Fund,Dynamic Bond
Current Assets,,1.75%,HSBC Dynamic Bond Fund,Dynamic Bond
Mutual Funds,,0.29%,HSBC Dynamic Bond Fund,Dynamic Bond
Sovereign,,43.05%,ICICI Prudential All Seasons Bond Fund,Dynamic Bond
Financial Services,,21.35%,ICICI Prudential All Seasons Bond Fund,Dynamic Bond
Current Assets,,19.82%,ICICI Prudential All Seasons Bond Fund,Dynamic Bond
Construction,,4.26%,ICICI Prudential All Seasons Bond Fund,Dynamic Bond
Realty,,3.86%,ICICI Prudential All Seasons Bond Fund,Dynamic Bond
Sovereign,,64.36%,Kotak Dynamic Bond Fund,Dynamic Bond
Financial Services,,18.72%,Kotak Dynamic Bond Fund,Dynamic Bond
Current Assets,,7.07%,Kotak Dynamic Bond Fund,Dynamic Bond
Realty,,4.55%,Kotak Dynamic Bond Fund,Dynamic Bond
Metals & Mining,,3.04%,Kotak Dynamic Bond Fund,Dynamic Bond
Sovereign,,67.50%,Mahindra Manulife Dynamic Bond Fund,Dynamic Bond
Financial Services,,25.19%,Mahindra Manulife Dynamic Bond Fund,Dynamic Bond
Realty,,3.58%,Mahindra Manulife Dynamic Bond Fund,Dynamic Bond
Current Assets,,3.48%,Mahindra Manulife Dynamic Bond Fund,Dynamic Bond
Mutual Funds,,0.25%,Mahindra Manulife Dynamic Bond Fund,Dynamic Bond
Sovereign,,48.28%,Mirae Asset Dynamic Bond Fund,Dynamic Bond
Financial Services,,39.92%,Mirae Asset Dynamic Bond Fund,Dynamic Bond
Power,,7.76%,Mirae Asset Dynamic Bond Fund,Dynamic Bond
Current Assets,,3.77%,Mirae Asset Dynamic Bond Fund,Dynamic Bond
Mutual Funds,,0.27%,Mirae Asset Dynamic Bond Fund,Dynamic Bond
Sovereign,,97.28%,Nippon India Dynamic Bond Fund,Dynamic Bond
Current Assets,,2.52%,Nippon India Dynamic Bond Fund,Dynamic Bond
Mutual Funds,,0.19%,Nippon India Dynamic Bond Fund,Dynamic Bond
Miscellaneous,,0.01%,Nippon India Dynamic Bond Fund,Dynamic Bond
Sovereign,,74.49%,PGIM India Dynamic Bond Fund,Dynamic Bond
Financial Services,,19.23%,PGIM India Dynamic Bond Fund,Dynamic Bond
Current Assets,,6.00%,PGIM India Dynamic Bond Fund,Dynamic Bond
Mutual Funds,,0.28%,PGIM India Dynamic Bond Fund,Dynamic Bond
Sovereign,,80.53%,SBI Dynamic Bond Fund,Dynamic Bond
Financial Services,,10.15%,SBI Dynamic Bond Fund,Dynamic Bond
Telecommunication,,4.81%,SBI Dynamic Bond Fund,Dynamic Bond
Current Assets,,4.31%,SBI Dynamic Bond Fund,Dynamic Bond
Mutual Funds,,0.20%,SBI Dynamic Bond Fund,Dynamic Bond
Sovereign,,78.47%,Union Dynamic Bond Fund,Dynamic Bond
Financial Services,,16.16%,Union Dynamic Bond Fund,Dynamic Bond
Current Assets,,5.11%,Union Dynamic Bond Fund,Dynamic Bond
Mutual Funds,,0.26%,Union Dynamic Bond Fund,Dynamic Bond
Financial Services,,28.11%,Aditya Birla Sun Life ELSS Tax Saver Fund,ELSS
Automobile and Auto Components,,10.30%,Aditya Birla Sun Life ELSS Tax Saver Fund,ELSS
Information Technology,,7.68%,Aditya Birla Sun Life ELSS Tax Saver Fund,ELSS
Healthcare,,7.40%,Aditya Birla Sun Life ELSS Tax Saver Fund,ELSS
Consumer Services,,7.03%,Aditya Birla Sun Life ELSS Tax Saver Fund,ELSS
Financial Services,,25.26%,Axis ELSS Tax Saver Fund,ELSS
Consumer Services,,15.51%,Axis ELSS Tax Saver Fund,ELSS
Information Technology,,10.65%,Axis ELSS Tax Saver Fund,ELSS
Automobile and Auto Components,,9.74%,Axis ELSS Tax Saver Fund,ELSS
Healthcare,,8.93%,Axis ELSS Tax Saver Fund,ELSS
Financial Services,,28.25%,Bandhan ELSS Tax saver Fund,ELSS
Automobile and Auto Components,,9.59%,Bandhan ELSS Tax saver Fund,ELSS
Information Technology,,8.99%,Bandhan ELSS Tax saver Fund,ELSS
Healthcare,,6.65%,Bandhan ELSS Tax saver Fund,ELSS
Fast Moving Consumer Goods,,6.39%,Bandhan ELSS Tax saver Fund,ELSS
Financial Services,,39.37%,Bank of India ELSS Tax Saver,ELSS
Capital Goods,,8.57%,Bank of India ELSS Tax Saver,ELSS
Healthcare,,6.87%,Bank of India ELSS Tax Saver,ELSS
Automobile and Auto Components,,6.50%,Bank of India ELSS Tax Saver,ELSS
Information Technology,,5.66%,Bank of India ELSS Tax Saver,ELSS
Financial Services,,31.55%,Bank of India Midcap Tax Fund - Series 1,ELSS
Automobile and Auto Components,,13.82%,Bank of India Midcap Tax Fund - Series 1,ELSS
Capital Goods,,10.96%,Bank of India Midcap Tax Fund - Series 1,ELSS
Consumer Services,,7.44%,Bank of India Midcap Tax Fund - Series 1,ELSS
Healthcare,,7.17%,Bank of India Midcap Tax Fund - Series 1,ELSS
Financial Services,,32.14%,Bank of India Midcap Tax Fund - Series 2,ELSS
Automobile and Auto Components,,13.93%,Bank of India Midcap Tax Fund - Series 2,ELSS
Capital Goods,,9.93%,Bank of India Midcap Tax Fund - Series 2,ELSS
Consumer Services,,7.47%,Bank of India Midcap Tax Fund - Series 2,ELSS
Healthcare,,6.45%,Bank of India Midcap Tax Fund - Series 2,ELSS
Financial Services,,30.87%,Baroda BNP Paribas ELSS Tax Saver Fund,ELSS
Information Technology,,12.02%,Baroda BNP Paribas ELSS Tax Saver Fund,ELSS
Healthcare,,6.92%,Baroda BNP Paribas ELSS Tax Saver Fund,ELSS
Consumer Services,,6.55%,Baroda BNP Paribas ELSS Tax Saver Fund,ELSS
Automobile and Auto Components,,5.41%,Baroda BNP Paribas ELSS Tax Saver Fund,ELSS
Financial Services,,30.68%,Canara Robeco ELSS Tax Saver,ELSS
Information Technology,,10.64%,Canara Robeco ELSS Tax Saver,ELSS
Automobile and Auto Components,,8.87%,Canara Robeco ELSS Tax Saver,ELSS
Capital Goods,,7.96%,Canara Robeco ELSS Tax Saver,ELSS
Fast Moving Consumer Goods,,7.33%,Canara Robeco ELSS Tax Saver,ELSS
Financial Services,,34.27%,DSP ELSS Tax Saver Fund,ELSS
Healthcare,,8.96%,DSP ELSS Tax Saver Fund,ELSS
Information Technology,,8.87%,DSP ELSS Tax Saver Fund,ELSS
Automobile and Auto Components,,8.81%,DSP ELSS Tax Saver Fund,ELSS
"Oil, Gas & Consumable Fuels",,7.59%,DSP ELSS Tax Saver Fund,ELSS
Financial Services,,34.67%,Edelweiss ELSS Tax saver Fund,ELSS
Information Technology,,11.10%,Edelweiss ELSS Tax saver Fund,ELSS
Capital Goods,,7.82%,Edelweiss ELSS Tax saver Fund,ELSS
Construction,,6.68%,Edelweiss ELSS Tax saver Fund,ELSS
Fast Moving Consumer Goods,,6.30%,Edelweiss ELSS Tax saver Fund,ELSS
Financial Services,,28.14%,Franklin India ELSS Tax Saver Fund,ELSS
Information Technology,,9.69%,Franklin India ELSS Tax Saver Fund,ELSS
Fast Moving Consumer Goods,,8.30%,Franklin India ELSS Tax Saver Fund,ELSS
"Oil, Gas & Consumable Fuels",,7.41%,Franklin India ELSS Tax Saver Fund,ELSS
Consumer Services,,6.08%,Franklin India ELSS Tax Saver Fund,ELSS
Financial Services,,31.92%,Groww ELSS Tax Saver Fund,ELSS
Information Technology,,13.73%,Groww ELSS Tax Saver Fund,ELSS
Automobile and Auto Components,,12.66%,Groww ELSS Tax Saver Fund,ELSS
Capital Goods,,8.67%,Groww ELSS Tax Saver Fund,ELSS
Construction Materials,,6.20%,Groww ELSS Tax Saver Fund,ELSS
Financial Services,,35.77%,HDFC ELSS Taxsaver Fund,ELSS
Healthcare,,12.34%,HDFC ELSS Taxsaver Fund,ELSS
Information Technology,,10.44%,HDFC ELSS Taxsaver Fund,ELSS
Power,,7.76%,HDFC ELSS Taxsaver Fund,ELSS
Capital Goods,,7.44%,HDFC ELSS Taxsaver Fund,ELSS
Financial Services,,27.52%,HSBC ELSS Tax saver Fund,ELSS
Capital Goods,,18.12%,HSBC ELSS Tax saver Fund,ELSS
Information Technology,,12.24%,HSBC ELSS Tax saver Fund,ELSS
Automobile and Auto Components,,9.22%,HSBC ELSS Tax saver Fund,ELSS
Construction,,5.69%,HSBC ELSS Tax saver Fund,ELSS
Financial Services,,29.39%,HSBC Tax Saver Equity Fund,ELSS
Consumer Durables,,9.76%,HSBC Tax Saver Equity Fund,ELSS
Healthcare,,9.20%,HSBC Tax Saver Equity Fund,ELSS
Information Technology,,7.74%,HSBC Tax Saver Equity Fund,ELSS
Capital Goods,,6.59%,HSBC Tax Saver Equity Fund,ELSS
Financial Services,,31.90%,ICICI Prudential ELSS Tax Saver Fund,ELSS
Healthcare,,10.21%,ICICI Prudential ELSS Tax Saver Fund,ELSS
Automobile and Auto Components,,10.13%,ICICI Prudential ELSS Tax Saver Fund,ELSS
Consumer Services,,8.24%,ICICI Prudential ELSS Tax Saver Fund,ELSS
Information Technology,,7.04%,ICICI Prudential ELSS Tax Saver Fund,ELSS
Financial Services,,25.01%,ICICI Prudential Long Term Wealth Enhancement Fund,ELSS
Automobile and Auto Components,,22.46%,ICICI Prudential Long Term Wealth Enhancement Fund,ELSS
Consumer Services,,12.85%,ICICI Prudential Long Term Wealth Enhancement Fund,ELSS
Healthcare,,7.70%,ICICI Prudential Long Term Wealth Enhancement Fund,ELSS
"Oil, Gas & Consumable Fuels",,7.42%,ICICI Prudential Long Term Wealth Enhancement Fund,ELSS
Financial Services,,28.72%,Invesco India ELSS Tax Saver Fund,ELSS
Information Technology,,10.96%,Invesco India ELSS Tax Saver Fund,ELSS
Capital Goods,,9.04%,Invesco India ELSS Tax Saver Fund,ELSS
"Oil, Gas & Consumable Fuels",,7.27%,Invesco India ELSS Tax Saver Fund,ELSS
Consumer Durables,,7.14%,Invesco India ELSS Tax Saver Fund,ELSS
Financial Services,,20.62%,ITI ELSS Tax Saver Fund,ELSS
Automobile and Auto Components,,10.22%,ITI ELSS Tax Saver Fund,ELSS
Capital Goods,,10.20%,ITI ELSS Tax Saver Fund,ELSS
Information Technology,,8.55%,ITI ELSS Tax Saver Fund,ELSS
Consumer Services,,7.70%,ITI ELSS Tax Saver Fund,ELSS
Financial Services,,29.07%,JM ELSS Tax Saver Fund,ELSS
Capital Goods,,12.43%,JM ELSS Tax Saver Fund,ELSS
Consumer Services,,9.53%,JM ELSS Tax Saver Fund,ELSS
Information Technology,,8.23%,JM ELSS Tax Saver Fund,ELSS
Fast Moving Consumer Goods,,6.76%,JM ELSS Tax Saver Fund,ELSS
Financial Services,,31.04%,LIC MF ELSS Tax Saver,ELSS
Capital Goods,,10.04%,LIC MF ELSS Tax Saver,ELSS
Information Technology,,9.80%,LIC MF ELSS Tax Saver,ELSS
Fast Moving Consumer Goods,,8.36%,LIC MF ELSS Tax Saver,ELSS
Consumer Durables,,8.04%,LIC MF ELSS Tax Saver,ELSS
Financial Services,,26.60%,LIC MF Unit Linked Insurance scheme,ELSS
Sovereign,,18.99%,LIC MF Unit Linked Insurance scheme,ELSS
Capital Goods,,10.50%,LIC MF Unit Linked Insurance scheme,ELSS
Information Technology,,9.53%,LIC MF Unit Linked Insurance scheme,ELSS
Consumer Services,,6.62%,LIC MF Unit Linked Insurance scheme,ELSS
Financial Services,,28.06%,Mahindra Manulife ELSS Tax Saver Fund,ELSS
Information Technology,,9.48%,Mahindra Manulife ELSS Tax Saver Fund,ELSS
Fast Moving Consumer Goods,,7.56%,Mahindra Manulife ELSS Tax Saver Fund,ELSS
"Oil, Gas & Consumable Fuels",,7.43%,Mahindra Manulife ELSS Tax Saver Fund,ELSS
Capital Goods,,7.27%,Mahindra Manulife ELSS Tax Saver Fund,ELSS
Financial Services,,34.67%,Mirae Asset ELSS Tax Saver Fund,ELSS
Information Technology,,8.56%,Mirae Asset ELSS Tax Saver Fund,ELSS
Healthcare,,6.40%,Mirae Asset ELSS Tax Saver Fund,ELSS
"Oil, Gas & Consumable Fuels",,6.12%,Mirae Asset ELSS Tax Saver Fund,ELSS
Consumer Durables,,5.70%,Mirae Asset ELSS Tax Saver Fund,ELSS
Financial Services,,22.91%,Motilal Oswal ELSS Tax Saver Fund,ELSS
Capital Goods,,16.21%,Motilal Oswal ELSS Tax Saver Fund,ELSS
Healthcare,,13.02%,Motilal Oswal ELSS Tax Saver Fund,ELSS
Consumer Services,,12.68%,Motilal Oswal ELSS Tax Saver Fund,ELSS
Consumer Durables,,6.11%,Motilal Oswal ELSS Tax Saver Fund,ELSS
Financial Services,,27.45%,Navi ELSS Tax Saver Fund,ELSS
Information Technology,,12.40%,Navi ELSS Tax Saver Fund,ELSS
Capital Goods,,9.91%,Navi ELSS Tax Saver Fund,ELSS
Automobile and Auto Components,,9.51%,Navi ELSS Tax Saver Fund,ELSS
Healthcare,,9.00%,Navi ELSS Tax Saver Fund,ELSS
Financial Services,,34.81%,Nippon India ELSS Tax Saver Fund,ELSS
Automobile and Auto Components,,9.23%,Nippon India ELSS Tax Saver Fund,ELSS
Fast Moving Consumer Goods,,7.69%,Nippon India ELSS Tax Saver Fund,ELSS
Power,,5.98%,Nippon India ELSS Tax Saver Fund,ELSS
Information Technology,,4.84%,Nippon India ELSS Tax Saver Fund,ELSS
Information Technology,,35.89%,NJ ELSS Tax Saver Scheme,ELSS
Financial Services,,16.24%,NJ ELSS Tax Saver Scheme,ELSS
Fast Moving Consumer Goods,,14.95%,NJ ELSS Tax Saver Scheme,ELSS
Capital Goods,,9.35%,NJ ELSS Tax Saver Scheme,ELSS
Automobile and Auto Components,,4.51%,NJ ELSS Tax Saver Scheme,ELSS
Financial Services,,40.41%,Parag Parikh ELSS Tax Saver Fund,ELSS
Information Technology,,18.54%,Parag Parikh ELSS Tax Saver Fund,ELSS
Current Assets,,9.63%,Parag Parikh ELSS Tax Saver Fund,ELSS
Automobile and Auto Components,,7.45%,Parag Parikh ELSS Tax Saver Fund,ELSS
"Oil, Gas & Consumable Fuels",,6.67%,Parag Parikh ELSS Tax Saver Fund,ELSS
Financial Services,,31.13%,PGIM India ELSS Tax Saver Fund,ELSS
Information Technology,,8.02%,PGIM India ELSS Tax Saver Fund,ELSS
Healthcare,,7.94%,PGIM India ELSS Tax Saver Fund,ELSS
Automobile and Auto Components,,7.23%,PGIM India ELSS Tax Saver Fund,ELSS
Consumer Services,,6.94%,PGIM India ELSS Tax Saver Fund,ELSS
Financial Services,,17.52%,Quant ELSS Tax Saver Fund,ELSS
Metals & Mining,,16.51%,Quant ELSS Tax Saver Fund,ELSS
"Oil, Gas & Consumable Fuels",,15.73%,Quant ELSS Tax Saver Fund,ELSS
Healthcare,,13.23%,Quant ELSS Tax Saver Fund,ELSS
Power,,7.24%,Quant ELSS Tax Saver Fund,ELSS
Financial Services,,35.84%,Quantum ELSS Tax Saver Fund,ELSS
Automobile and Auto Components,,17.91%,Quantum ELSS Tax Saver Fund,ELSS
Information Technology,,15.30%,Quantum ELSS Tax Saver Fund,ELSS
Current Assets,,7.75%,Quantum ELSS Tax Saver Fund,ELSS
"Oil, Gas & Consumable Fuels",,6.24%,Quantum ELSS Tax Saver Fund,ELSS
Financial Services,,24.05%,Samco ELSS Tax Saver Fund,ELSS
Current Assets,,19.85%,Samco ELSS Tax Saver Fund,ELSS
Healthcare,,14.74%,Samco ELSS Tax Saver Fund,ELSS
Fast Moving Consumer Goods,,12.35%,Samco ELSS Tax Saver Fund,ELSS
Information Technology,,8.88%,Samco ELSS Tax Saver Fund,ELSS
Automobile and Auto Components,,17.78%,SBI Long Term Advantage Fund - Series II,ELSS
Financial Services,,17.45%,SBI Long Term Advantage Fund - Series II,ELSS
Realty,,10.30%,SBI Long Term Advantage Fund - Series II,ELSS
Capital Goods,,9.03%,SBI Long Term Advantage Fund - Series II,ELSS
Healthcare,,8.88%,SBI Long Term Advantage Fund - Series II,ELSS
Automobile and Auto Components,,17.80%,SBI Long Term Advantage Fund - Series III,ELSS
Financial Services,,17.16%,SBI Long Term Advantage Fund - Series III,ELSS
Realty,,10.16%,SBI Long Term Advantage Fund - Series III,ELSS
Capital Goods,,9.28%,SBI Long Term Advantage Fund - Series III,ELSS
Healthcare,,8.58%,SBI Long Term Advantage Fund - Series III,ELSS
Financial Services,,36.86%,SBI Long Term Advantage Fund - Series IV,ELSS
Fast Moving Consumer Goods,,9.48%,SBI Long Term Advantage Fund - Series IV,ELSS
Chemicals,,9.44%,SBI Long Term Advantage Fund - Series IV,ELSS
Healthcare,,8.82%,SBI Long Term Advantage Fund - Series IV,ELSS
Current Assets,,7.92%,SBI Long Term Advantage Fund - Series IV,ELSS
Financial Services,,35.58%,SBI Long Term Advantage Fund - Series V,ELSS
