Sector Name,Dummy,Percentage Allocation,Fund Type,Scheme Name
Fast Moving Consumer Goods,,7.33%,Canara Robeco ELSS Tax Saver,ELSS
Financial Services,,34.27%,DSP ELSS Tax Saver Fund,ELSS
Healthcare,,8.96%,DSP ELSS Tax Saver Fund,ELSS
Information Technology,,8.87%,DSP ELSS Tax Saver Fund,ELSS
Automobile and Auto Components,,8.81%,DSP ELSS Tax Saver Fund,ELSS
"Oil, Gas & Consumable Fuels",,7.59%,DSP ELSS Tax Saver Fund,ELSS
Financial Services,,34.67%,Edelweiss ELSS Tax saver Fund,ELSS
Information Technology,,11.10%,Edelweiss ELSS Tax saver Fund,ELSS
Capital Goods,,7.82%,Edelweiss ELSS Tax saver Fund,ELSS
Construction,,6.68%,Edelweiss ELSS Tax saver Fund,ELSS
Fast Moving Consumer Goods,,6.30%,Edelweiss ELSS Tax saver Fund,ELSS
Financial Services,,28.14%,Franklin India ELSS Tax Saver Fund,ELSS
Information Technology,,9.69%,Franklin India ELSS Tax Saver Fund,ELSS
Fast Moving Consumer Goods,,8.30%,Franklin India ELSS Tax Saver Fund,ELSS
"Oil, Gas & Consumable Fuels",,7.41%,Franklin India ELSS Tax Saver Fund,ELSS
Consumer Services,,6.08%,Franklin India ELSS Tax Saver Fund,ELSS
Financial Services,,31.92%,Groww ELSS Tax Saver Fund,ELSS
Information Technology,,13.73%,Groww ELSS Tax Saver Fund,ELSS
Automobile and Auto Components,,12.66%,Groww ELSS Tax Saver Fund,ELSS
Capital Goods,,8.67%,Groww ELSS Tax Saver Fund,ELSS
Construction Materials,,6.20%,Groww ELSS Tax Saver Fund,ELSS
Financial Services,,35.77%,HDFC ELSS Taxsaver Fund,ELSS
Healthcare,,12.34%,HDFC ELSS Taxsaver Fund,ELSS
Information Technology,,10.44%,HDFC ELSS Taxsaver Fund,ELSS
Power,,7.76%,HDFC ELSS Taxsaver Fund,ELSS
Capital Goods,,7.44%,HDFC ELSS Taxsaver Fund,ELSS
Financial Services,,27.52%,HSBC ELSS Tax saver Fund,ELSS
Capital Goods,,18.12%,HSBC ELSS Tax saver Fund,ELSS
Information Technology,,12.24%,HSBC ELSS Tax saver Fund,ELSS
Automobile and Auto Components,,9.22%,HSBC ELSS Tax saver Fund,ELSS
Construction,,5.69%,HSBC ELSS Tax saver Fund,ELSS
Financial Services,,29.39%,HSBC Tax Saver Equity Fund,ELSS
Consumer Durables,,9.76%,HSBC Tax Saver Equity Fund,ELSS
Healthcare,,9.20%,HSBC Tax Saver Equity Fund,ELSS
Information Technology,,7.74%,HSBC Tax Saver Equity Fund,ELSS
Capital Goods,,6.59%,HSBC Tax Saver Equity Fund,ELSS
Financial Services,,31.90%,ICICI Prudential ELSS Tax Saver Fund,ELSS
Healthcare,,10.21%,ICICI Prudential ELSS Tax Saver Fund,ELSS
Automobile and Auto Components,,10.13%,ICICI Prudential ELSS Tax Saver Fund,ELSS
Consumer Services,,8.24%,ICICI Prudential ELSS Tax Saver Fund,ELSS
Information Technology,,7.04%,ICICI Prudential ELSS Tax Saver Fund,ELSS
Financial Services,,28.72%,Invesco India ELSS Tax Saver Fund,ELSS
Information Technology,,10.96%,Invesco India ELSS Tax Saver Fund,ELSS
Capital Goods,,9.04%,Invesco India ELSS Tax Saver Fund,ELSS
"Oil, Gas & Consumable Fuels",,7.27%,Invesco India ELSS Tax Saver Fund,ELSS
Consumer Durables,,7.14%,Invesco India ELSS Tax Saver Fund,ELSS
Financial Services,,20.62%,ITI ELSS Tax Saver Fund,ELSS
Automobile and Auto Components,,10.22%,ITI ELSS Tax Saver Fund,ELSS
Capital Goods,,10.20%,ITI ELSS Tax Saver Fund,ELSS
Information Technology,,8.55%,ITI ELSS Tax Saver Fund,ELSS
Consumer Services,,7.70%,ITI ELSS Tax Saver Fund,ELSS
Financial Services,,29.07%,JM ELSS Tax Saver Fund,ELSS
Capital Goods,,12.43%,JM ELSS Tax Saver Fund,ELSS
Consumer Services,,9.53%,JM ELSS Tax Saver Fund,ELSS
Information Technology,,8.23%,JM ELSS Tax Saver Fund,ELSS
Fast Moving Consumer Goods,,6.76%,JM ELSS Tax Saver Fund,ELSS
Miscellaneous,,51.98%,Aditya Birla Sun Life Equity Savings Fund,Equity Savings
Financial Services,,15.46%,Aditya Birla Sun Life Equity Savings Fund,Equity Savings
Sovereign,,12.39%,Aditya Birla Sun Life Equity Savings Fund,Equity Savings
Mutual Funds,,6.57%,Aditya Birla Sun Life Equity Savings Fund,Equity Savings
Fast Moving Consumer Goods,,3.00%,Aditya Birla Sun Life Equity Savings Fund,Equity Savings
Current Assets,,37.52%,Axis Equity Saver Fund,Equity Savings
Sovereign,,17.12%,Axis Equity Saver Fund,Equity Savings
Financial Services,,14.87%,Axis Equity Saver Fund,Equity Savings
Information Technology,,7.11%,Axis Equity Saver Fund,Equity Savings
Automobile and Auto Components,,4.67%,Axis Equity Saver Fund,Equity Savings
Miscellaneous,,49.62%,Bandhan Equity Savings Fund,Equity Savings
Financial Services,,22.92%,Bandhan Equity Savings Fund,Equity Savings
Mutual Funds,,8.74%,Bandhan Equity Savings Fund,Equity Savings
Current Assets,,4.92%,Bandhan Equity Savings Fund,Equity Savings
Information Technology,,2.10%,Bandhan Equity Savings Fund,Equity Savings
Miscellaneous,,33.07%,Baroda BNP Paribas Equity Savings Fund,Equity Savings
Financial Services,,22.01%,Baroda BNP Paribas Equity Savings Fund,Equity Savings
Sovereign,,13.50%,Baroda BNP Paribas Equity Savings Fund,Equity Savings
Current Assets,,5.28%,Baroda BNP Paribas Equity Savings Fund,Equity Savings
Information Technology,,4.28%,Baroda BNP Paribas Equity Savings Fund,Equity Savings
Miscellaneous,,35.11%,DSP Equity Savings Fund,Equity Savings
Financial Services,,28.70%,DSP Equity Savings Fund,Equity Savings
Sovereign,,14.03%,DSP Equity Savings Fund,Equity Savings
Healthcare,,6.62%,DSP Equity Savings Fund,Equity Savings
Current Assets,,3.86%,DSP Equity Savings Fund,Equity Savings
Miscellaneous,,42.06%,Edelweiss Equity Savings Fund,Equity Savings
Current Assets,,19.55%,Edelweiss Equity Savings Fund,Equity Savings
Financial Services,,10.79%,Edelweiss Equity Savings Fund,Equity Savings
Sovereign,,7.36%,Edelweiss Equity Savings Fund,Equity Savings
Mutual Funds,,4.13%,Edelweiss Equity Savings Fund,Equity Savings
Miscellaneous,,48.69%,Franklin India Equity Savings Fund,Equity Savings
Financial Services,,17.46%,Franklin India Equity Savings Fund,Equity Savings
Sovereign,,14.50%,Franklin India Equity Savings Fund,Equity Savings
Current Assets,,7.10%,Franklin India Equity Savings Fund,Equity Savings
Information Technology,,2.16%,Franklin India Equity Savings Fund,Equity Savings
Miscellaneous,,32.55%,HDFC Equity Savings Fund,Equity Savings
Financial Services,,20.74%,HDFC Equity Savings Fund,Equity Savings
Sovereign,,12.34%,HDFC Equity Savings Fund,Equity Savings
Current Assets,,4.33%,HDFC Equity Savings Fund,Equity Savings
"Oil, Gas & Consumable Fuels",,3.67%,HDFC Equity Savings Fund,Equity Savings
Miscellaneous,,27.81%,HSBC Equity Savings Fund,Equity Savings
Sovereign,,20.84%,HSBC Equity Savings Fund,Equity Savings
Financial Services,,13.04%,HSBC Equity Savings Fund,Equity Savings
Capital Goods,,8.34%,HSBC Equity Savings Fund,Equity Savings
Consumer Durables,,7.34%,HSBC Equity Savings Fund,Equity Savings
Miscellaneous,,58.20%,ICICI Prudential Equity Savings Fund,Equity Savings
Sovereign,,12.36%,ICICI Prudential Equity Savings Fund,Equity Savings
Financial Services,,8.19%,ICICI Prudential Equity Savings Fund,Equity Savings
Fast Moving Consumer Goods,,4.89%,ICICI Prudential Equity Savings Fund,Equity Savings
Current Assets,,4.77%,ICICI Prudential Equity Savings Fund,Equity Savings
Current Assets,,168.88%,Invesco India Equity Savings Fund,Equity Savings
Mutual Funds,,16.74%,Invesco India Equity Savings Fund,Equity Savings
Sovereign,,5.26%,Invesco India Equity Savings Fund,Equity Savings
Capital Goods,,3.81%,Invesco India Equity Savings Fund,Equity Savings
Consumer Services,,3.19%,Invesco India Equity Savings Fund,Equity Savings
Miscellaneous,,33.51%,Kotak Equity Savings Fund,Equity Savings
Financial Services,,19.86%,Kotak Equity Savings Fund,Equity Savings
Mutual Funds,,10.79%,Kotak Equity Savings Fund,Equity Savings
Current Assets,,9.27%,Kotak Equity Savings Fund,Equity Savings
Fast Moving Consumer Goods,,5.03%,Kotak Equity Savings Fund,Equity Savings
Miscellaneous,,26.07%,LIC MF Equity Savings Fund,Equity Savings
Current Assets,,20.34%,LIC MF Equity Savings Fund,Equity Savings
Financial Services,,19.01%,LIC MF Equity Savings Fund,Equity Savings
Mutual Funds,,11.31%,LIC MF Equity Savings Fund,Equity Savings
Construction Materials,,4.87%,LIC MF Equity Savings Fund,Equity Savings
Current Assets,,33.22%,Mahindra Manulife Equity Savings Fund,Equity Savings
Financial Services,,16.55%,Mahindra Manulife Equity Savings Fund,Equity Savings
Sovereign,,15.74%,Mahindra Manulife Equity Savings Fund,Equity Savings
Capital Goods,,5.51%,Mahindra Manulife Equity Savings Fund,Equity Savings
"Oil, Gas & Consumable Fuels",,4.98%,Mahindra Manulife Equity Savings Fund,Equity Savings
Financial Services,,22.94%,Mirae Asset Equity Savings Fund,Equity Savings
Sovereign,,16.60%,Mirae Asset Equity Savings Fund,Equity Savings
Current Assets,,10.03%,Mirae Asset Equity Savings Fund,Equity Savings
Information Technology,,6.25%,Mirae Asset Equity Savings Fund,Equity Savings
"Oil, Gas & Consumable Fuels",,5.79%,Mirae Asset Equity Savings Fund,Equity Savings
Miscellaneous,,52.89%,Nippon India Equity Savings Fund,Equity Savings
Financial Services,,13.01%,Nippon India Equity Savings Fund,Equity Savings
Sovereign,,12.95%,Nippon India Equity Savings Fund,Equity Savings
Current Assets,,6.50%,Nippon India Equity Savings Fund,Equity Savings
Information Technology,,2.19%,Nippon India Equity Savings Fund,Equity Savings
Current Assets,,62.78%,PGIM India Equity Savings Fund,Equity Savings
Sovereign,,20.48%,PGIM India Equity Savings Fund,Equity Savings
Financial Services,,5.70%,PGIM India Equity Savings Fund,Equity Savings
Information Technology,,2.07%,PGIM India Equity Savings Fund,Equity Savings
"Oil, Gas & Consumable Fuels",,1.31%,PGIM India Equity Savings Fund,Equity Savings
Miscellaneous,,30.02%,SBI Equity Savings Fund,Equity Savings
Financial Services,,21.05%,SBI Equity Savings Fund,Equity Savings
Sovereign,,9.26%,SBI Equity Savings Fund,Equity Savings
Current Assets,,5.59%,SBI Equity Savings Fund,Equity Savings
Services,,4.56%,SBI Equity Savings Fund,Equity Savings
Miscellaneous,,32.67%,Sundaram Equity Savings Fund,Equity Savings
Financial Services,,18.27%,Sundaram Equity Savings Fund,Equity Savings
Current Assets,,11.13%,Sundaram Equity Savings Fund,Equity Savings
Sovereign,,10.86%,Sundaram Equity Savings Fund,Equity Savings
Healthcare,,4.95%,Sundaram Equity Savings Fund,Equity Savings
Miscellaneous,,38.19%,Tata Equity Savings Fund,Equity Savings
Financial Services,,10.55%,Tata Equity Savings Fund,Equity Savings
Current Assets,,10.03%,Tata Equity Savings Fund,Equity Savings
Sovereign,,8.93%,Tata Equity Savings Fund,Equity Savings
Power,,6.40%,Tata Equity Savings Fund,Equity Savings
Miscellaneous,,32.62%,Union Equity Savings Fund,Equity Savings
Sovereign,,20.61%,Union Equity Savings Fund,Equity Savings
Financial Services,,16.23%,Union Equity Savings Fund,Equity Savings
Current Assets,,7.50%,Union Equity Savings Fund,Equity Savings
Information Technology,,4.49%,Union Equity Savings Fund,Equity Savings
Miscellaneous,,37.15%,UTI Equity Savings Fund,Equity Savings
Financial Services,,19.55%,UTI Equity Savings Fund,Equity Savings
Sovereign,,16.88%,UTI Equity Savings Fund,Equity Savings
"Oil, Gas & Consumable Fuels",,4.31%,UTI Equity Savings Fund,Equity Savings
Current Assets,,4.09%,UTI Equity Savings Fund,Equity Savings
Automobile and Auto Components,,19.40%,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,ETFs - Others
Healthcare,,18.33%,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,ETFs - Others
Capital Goods,,17.95%,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,ETFs - Others
Financial Services,,12.61%,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,ETFs - Others
Consumer Services,,5.02%,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,ETFs - Others
Fast Moving Consumer Goods,,29.10%,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,ETFs - Others
Information Technology,,25.99%,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,ETFs - Others
Consumer Durables,,8.92%,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,ETFs - Others
Automobile and Auto Components,,6.80%,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,6.62%,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,ETFs - Others
Financial Services,,35.24%,Aditya Birla Sun Life Nifty 50 ETF,ETFs - Others
Information Technology,,13.61%,Aditya Birla Sun Life Nifty 50 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.39%,Aditya Birla Sun Life Nifty 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,9.16%,Aditya Birla Sun Life Nifty 50 ETF,ETFs - Others
Automobile and Auto Components,,6.48%,Aditya Birla Sun Life Nifty 50 ETF,ETFs - Others
Financial Services,,99.99%,Aditya Birla Sun Life Nifty Bank ETF,ETFs - Others
Current Assets,,0.01%,Aditya Birla Sun Life Nifty Bank ETF,ETFs - Others
Healthcare,,99.80%,Aditya Birla Sun Life Nifty Healthcare ETF,ETFs - Others
Current Assets,,0.20%,Aditya Birla Sun Life Nifty Healthcare ETF,ETFs - Others
Information Technology,,99.97%,Aditya Birla Sun Life Nifty IT ETF,ETFs - Others
Current Assets,,0.03%,Aditya Birla Sun Life Nifty IT ETF,ETFs - Others
Financial Services,,20.30%,Aditya Birla Sun Life Nifty Next 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,12.66%,Aditya Birla Sun Life Nifty Next 50 ETF,ETFs - Others
Consumer Services,,11.61%,Aditya Birla Sun Life Nifty Next 50 ETF,ETFs - Others
Capital Goods,,11.12%,Aditya Birla Sun Life Nifty Next 50 ETF,ETFs - Others
Chemicals,,6.57%,Aditya Birla Sun Life Nifty Next 50 ETF,ETFs - Others
Financial Services,,39.11%,Aditya Birla Sun Life S&P BSE Sensex ETF,ETFs - Others
Information Technology,,15.03%,Aditya Birla Sun Life S&P BSE Sensex ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.81%,Aditya Birla Sun Life S&P BSE Sensex ETF,ETFs - Others
Fast Moving Consumer Goods,,8.99%,Aditya Birla Sun Life S&P BSE Sensex ETF,ETFs - Others
Automobile and Auto Components,,5.36%,Aditya Birla Sun Life S&P BSE Sensex ETF,ETFs - Others
Financial Services,,35.12%,Axis NIFTY 50 ETF,ETFs - Others
Information Technology,,13.62%,Axis NIFTY 50 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,Axis NIFTY 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,9.17%,Axis NIFTY 50 ETF,ETFs - Others
Automobile and Auto Components,,6.47%,Axis NIFTY 50 ETF,ETFs - Others
Financial Services,,99.80%,Axis NIFTY Bank ETF,ETFs - Others
Current Assets,,0.20%,Axis NIFTY Bank ETF,ETFs - Others
Healthcare,,99.81%,Axis NIFTY Healthcare ETF,ETFs - Others
Current Assets,,0.19%,Axis NIFTY Healthcare ETF,ETFs - Others
Fast Moving Consumer Goods,,37.63%,Axis NIFTY India Consumption ETF,ETFs - Others
Automobile and Auto Components,,19.30%,Axis NIFTY India Consumption ETF,ETFs - Others
Consumer Durables,,13.77%,Axis NIFTY India Consumption ETF,ETFs - Others
Telecommunication,,10.10%,Axis NIFTY India Consumption ETF,ETFs - Others
Consumer Services,,8.35%,Axis NIFTY India Consumption ETF,ETFs - Others
Information Technology,,99.80%,Axis NIFTY IT ETF,ETFs - Others
Current Assets,,0.20%,Axis NIFTY IT ETF,ETFs - Others
Financial Services,,38.94%,AXIS S&P BSE SENSEX ETF,ETFs - Others
Information Technology,,15.06%,AXIS S&P BSE SENSEX ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.83%,AXIS S&P BSE SENSEX ETF,ETFs - Others
Fast Moving Consumer Goods,,9.00%,AXIS S&P BSE SENSEX ETF,ETFs - Others
Automobile and Auto Components,,5.36%,AXIS S&P BSE SENSEX ETF,ETFs - Others
Financial Services,,35.25%,Bandhan Nifty 50 ETF,ETFs - Others
Information Technology,,13.62%,Bandhan Nifty 50 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,Bandhan Nifty 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,9.17%,Bandhan Nifty 50 ETF,ETFs - Others
Automobile and Auto Components,,6.48%,Bandhan Nifty 50 ETF,ETFs - Others
Financial Services,,38.93%,Bandhan S&P BSE Sensex ETF,ETFs - Others
Information Technology,,14.75%,Bandhan S&P BSE Sensex ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.81%,Bandhan S&P BSE Sensex ETF,ETFs - Others
Fast Moving Consumer Goods,,9.09%,Bandhan S&P BSE Sensex ETF,ETFs - Others
Automobile and Auto Components,,5.40%,Bandhan S&P BSE Sensex ETF,ETFs - Others
Financial Services,,71.44%,BHARAT Bond ETF - April 2025,ETFs - Others
"Oil, Gas & Consumable Fuels",,19.15%,BHARAT Bond ETF - April 2025,ETFs - Others
Power,,5.28%,BHARAT Bond ETF - April 2025,ETFs - Others
Miscellaneous,,3.09%,BHARAT Bond ETF - April 2025,ETFs - Others
Sovereign,,0.89%,BHARAT Bond ETF - April 2025,ETFs - Others
Financial Services,,42.29%,BHARAT Bond ETF - April 2030,ETFs - Others
Power,,15.04%,BHARAT Bond ETF - April 2030,ETFs - Others
"Oil, Gas & Consumable Fuels",,14.88%,BHARAT Bond ETF - April 2030,ETFs - Others
Sovereign,,11.14%,BHARAT Bond ETF - April 2030,ETFs - Others
Construction,,11.02%,BHARAT Bond ETF - April 2030,ETFs - Others
Financial Services,,42.27%,BHARAT Bond ETF - April 2031,ETFs - Others
Power,,17.92%,BHARAT Bond ETF - April 2031,ETFs - Others
Sovereign,,12.62%,BHARAT Bond ETF - April 2031,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.67%,BHARAT Bond ETF - April 2031,ETFs - Others
Construction,,7.36%,BHARAT Bond ETF - April 2031,ETFs - Others
Financial Services,,45.93%,BHARAT Bond ETF - April 2032,ETFs - Others
"Oil, Gas & Consumable Fuels",,16.34%,BHARAT Bond ETF - April 2032,ETFs - Others
Sovereign,,13.06%,BHARAT Bond ETF - April 2032,ETFs - Others
Power,,12.89%,BHARAT Bond ETF - April 2032,ETFs - Others
Construction,,7.40%,BHARAT Bond ETF - April 2032,ETFs - Others
Financial Services,,58.45%,BHARAT Bond ETF April 2033,ETFs - Others
Power,,17.89%,BHARAT Bond ETF April 2033,ETFs - Others
Sovereign,,13.44%,BHARAT Bond ETF April 2033,ETFs - Others
"Oil, Gas & Consumable Fuels",,7.54%,BHARAT Bond ETF April 2033,ETFs - Others
Miscellaneous,,2.62%,BHARAT Bond ETF April 2033,ETFs - Others
Power,,46.29%,CPSE ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,37.63%,CPSE ETF,ETFs - Others
Capital Goods,,14.88%,CPSE ETF,ETFs - Others
Construction,,1.17%,CPSE ETF,ETFs - Others
Current Assets,,0.03%,CPSE ETF,ETFs - Others
Financial Services,,19.86%,DSP Nifty 50 Equal Weight ETF,ETFs - Others
Automobile and Auto Components,,12.18%,DSP Nifty 50 Equal Weight ETF,ETFs - Others
Information Technology,,11.75%,DSP Nifty 50 Equal Weight ETF,ETFs - Others
Fast Moving Consumer Goods,,10.14%,DSP Nifty 50 Equal Weight ETF,ETFs - Others
Healthcare,,9.91%,DSP Nifty 50 Equal Weight ETF,ETFs - Others
Financial Services,,99.87%,DSP Nifty Bank ETF,ETFs - Others
Current Assets,,0.13%,DSP Nifty Bank ETF,ETFs - Others
Information Technology,,99.91%,DSP Nifty IT ETF,ETFs - Others
Current Assets,,0.09%,DSP Nifty IT ETF,ETFs - Others
Information Technology,,16.52%,DSP Nifty Midcap 150 Quality 50 ETF,ETFs - Others
Capital Goods,,16.14%,DSP Nifty Midcap 150 Quality 50 ETF,ETFs - Others
Financial Services,,13.00%,DSP Nifty Midcap 150 Quality 50 ETF,ETFs - Others
Chemicals,,11.40%,DSP Nifty Midcap 150 Quality 50 ETF,ETFs - Others
Healthcare,,8.34%,DSP Nifty Midcap 150 Quality 50 ETF,ETFs - Others
Financial Services,,100.05%,DSP Nifty Private Bank ETF,ETFs - Others
Current Assets,,-0.05%,DSP Nifty Private Bank ETF,ETFs - Others
Financial Services,,100.54%,DSP Nifty PSU Bank ETF,ETFs - Others
Current Assets,,-0.54%,DSP Nifty PSU Bank ETF,ETFs - Others
Financial Services,,36.68%,DSP S&P BSE Sensex ETF,ETFs - Others
Information Technology,,14.10%,DSP S&P BSE Sensex ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.14%,DSP S&P BSE Sensex ETF,ETFs - Others
Fast Moving Consumer Goods,,8.42%,DSP S&P BSE Sensex ETF,ETFs - Others
Current Assets,,6.27%,DSP S&P BSE Sensex ETF,ETFs - Others
Financial Services,,32.66%,HDFC NIFTY 100 ETF,ETFs - Others
Information Technology,,11.39%,HDFC NIFTY 100 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.58%,HDFC NIFTY 100 ETF,ETFs - Others
Fast Moving Consumer Goods,,9.89%,HDFC NIFTY 100 ETF,ETFs - Others
Automobile and Auto Components,,6.44%,HDFC NIFTY 100 ETF,ETFs - Others
Financial Services,,35.26%,HDFC NIFTY 50 ETF,ETFs - Others
Information Technology,,13.62%,HDFC NIFTY 50 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,HDFC NIFTY 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,9.16%,HDFC NIFTY 50 ETF,ETFs - Others
Automobile and Auto Components,,6.48%,HDFC NIFTY 50 ETF,ETFs - Others
Financial Services,,100.00%,HDFC NIFTY Bank ETF,ETFs - Others
Current Assets,,-,HDFC NIFTY Bank ETF,ETFs - Others
Information Technology,,39.80%,HDFC NIFTY Growth Sectors 15 ETF,ETFs - Others
Fast Moving Consumer Goods,,31.79%,HDFC NIFTY Growth Sectors 15 ETF,ETFs - Others
Automobile and Auto Components,,10.98%,HDFC NIFTY Growth Sectors 15 ETF,ETFs - Others
Healthcare,,9.22%,HDFC NIFTY Growth Sectors 15 ETF,ETFs - Others
Consumer Durables,,7.02%,HDFC NIFTY Growth Sectors 15 ETF,ETFs - Others
Information Technology,,99.99%,HDFC NIFTY IT ETF,ETFs - Others
Current Assets,,0.01%,HDFC NIFTY IT ETF,ETFs - Others
Financial Services,,22.06%,HDFC NIFTY Midcap 150 ETF,ETFs - Others
Capital Goods,,13.32%,HDFC NIFTY Midcap 150 ETF,ETFs - Others
Healthcare,,10.88%,HDFC NIFTY Midcap 150 ETF,ETFs - Others
Automobile and Auto Components,,7.27%,HDFC NIFTY Midcap 150 ETF,ETFs - Others
Information Technology,,6.86%,HDFC NIFTY Midcap 150 ETF,ETFs - Others
Financial Services,,20.33%,HDFC NIFTY NEXT 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,12.68%,HDFC NIFTY NEXT 50 ETF,ETFs - Others
Consumer Services,,11.63%,HDFC NIFTY NEXT 50 ETF,ETFs - Others
Capital Goods,,11.14%,HDFC NIFTY NEXT 50 ETF,ETFs - Others
Chemicals,,6.58%,HDFC NIFTY NEXT 50 ETF,ETFs - Others
Financial Services,,100.00%,HDFC NIFTY Private Bank ETF,ETFs - Others
Current Assets,,-,HDFC NIFTY Private Bank ETF,ETFs - Others
Financial Services,,23.11%,HDFC NIFTY Smallcap 250 ETF,ETFs - Others
Capital Goods,,15.40%,HDFC NIFTY Smallcap 250 ETF,ETFs - Others
Healthcare,,9.67%,HDFC NIFTY Smallcap 250 ETF,ETFs - Others
Information Technology,,6.70%,HDFC NIFTY Smallcap 250 ETF,ETFs - Others
Chemicals,,5.51%,HDFC NIFTY Smallcap 250 ETF,ETFs - Others
Fast Moving Consumer Goods,,24.70%,HDFC NIFTY100 Low Volatility 30 ETF,ETFs - Others
Financial Services,,14.51%,HDFC NIFTY100 Low Volatility 30 ETF,ETFs - Others
Healthcare,,13.13%,HDFC NIFTY100 Low Volatility 30 ETF,ETFs - Others
Information Technology,,9.98%,HDFC NIFTY100 Low Volatility 30 ETF,ETFs - Others
Automobile and Auto Components,,8.82%,HDFC NIFTY100 Low Volatility 30 ETF,ETFs - Others
Fast Moving Consumer Goods,,29.64%,HDFC NIFTY100 Quality 30 ETF,ETFs - Others
Information Technology,,23.56%,HDFC NIFTY100 Quality 30 ETF,ETFs - Others
Automobile and Auto Components,,14.08%,HDFC NIFTY100 Quality 30 ETF,ETFs - Others
Consumer Durables,,8.49%,HDFC NIFTY100 Quality 30 ETF,ETFs - Others
Financial Services,,6.24%,HDFC NIFTY100 Quality 30 ETF,ETFs - Others
Automobile and Auto Components,,19.43%,HDFC NIFTY200 Momentum 30 ETF,ETFs - Others
Healthcare,,18.36%,HDFC NIFTY200 Momentum 30 ETF,ETFs - Others
Capital Goods,,17.98%,HDFC NIFTY200 Momentum 30 ETF,ETFs - Others
Financial Services,,12.63%,HDFC NIFTY200 Momentum 30 ETF,ETFs - Others
Consumer Services,,5.02%,HDFC NIFTY200 Momentum 30 ETF,ETFs - Others
Information Technology,,35.44%,HDFC NIFTY50 Value 20 ETF,ETFs - Others
Financial Services,,22.29%,HDFC NIFTY50 Value 20 ETF,ETFs - Others
Fast Moving Consumer Goods,,14.19%,HDFC NIFTY50 Value 20 ETF,ETFs - Others
Power,,7.69%,HDFC NIFTY50 Value 20 ETF,ETFs - Others
Metals & Mining,,6.10%,HDFC NIFTY50 Value 20 ETF,ETFs - Others
Financial Services,,29.65%,HDFC S&P BSE 500 ETF,ETFs - Others
Information Technology,,10.20%,HDFC S&P BSE 500 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,8.67%,HDFC S&P BSE 500 ETF,ETFs - Others
Fast Moving Consumer Goods,,8.01%,HDFC S&P BSE 500 ETF,ETFs - Others
Automobile and Auto Components,,6.47%,HDFC S&P BSE 500 ETF,ETFs - Others
Financial Services,,39.13%,HDFC S&P BSE SENSEX ETF,ETFs - Others
Information Technology,,15.04%,HDFC S&P BSE SENSEX ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.81%,HDFC S&P BSE SENSEX ETF,ETFs - Others
Fast Moving Consumer Goods,,9.00%,HDFC S&P BSE SENSEX ETF,ETFs - Others
Automobile and Auto Components,,5.36%,HDFC S&P BSE SENSEX ETF,ETFs - Others
Power,,21.55%,ICICI Prudential Bharat 22 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,19.90%,ICICI Prudential Bharat 22 ETF,ETFs - Others
Financial Services,,18.17%,ICICI Prudential Bharat 22 ETF,ETFs - Others
Construction,,17.34%,ICICI Prudential Bharat 22 ETF,ETFs - Others
Fast Moving Consumer Goods,,11.93%,ICICI Prudential Bharat 22 ETF,ETFs - Others
Financial Services,,32.67%,ICICI Prudential Nifty 100 ETF,ETFs - Others
Information Technology,,11.40%,ICICI Prudential Nifty 100 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.59%,ICICI Prudential Nifty 100 ETF,ETFs - Others
Fast Moving Consumer Goods,,9.88%,ICICI Prudential Nifty 100 ETF,ETFs - Others
